parent_source_antigen_iri,parent_source_antigen_names,source_organism_names,host_organism_names
ChEBI:18154,['polysaccharide'],"['Acinetobacter baumannii', 'Aggregatibacter actinomycetemcomitans serotype b str. Y4', 'Alcaligenes faecalis', 'Brucella', 'Brucella melitensis bv. 1 str. 16M', 'Campylobacter jejuni subsp. jejuni serotype HS:15', 'Candida albicans', 'Candidozyma auris', 'Citrobacter freundii', 'Clostridium difficile', 'Clostridium difficile BI / NAP1/ 027', 'Cryptococcus neoformans', 'Cryptococcus neoformans Mu-1', 'Enterococcus faecalis', 'Escherichia coli O25b:ST131', 'Francisella tularensis subsp. tularensis strain 15', 'Haemophilus influenzae', 'Haemophilus influenzae Serotype B', 'Klebsiella pneumoniae', 'Mycoplasmoides pneumoniae (Filterable agent of primary atypical pneumonia)', 'Neisseria meningitidis', 'Neisseria meningitidis serogroup A', 'Neisseria meningitidis serogroup B', 'Neisseria meningitidis serogroup C', 'Neisseria meningitidis serogroup C strain C11', 'Neisseria meningitidis serogroup C strain MC19', 'Neisseria meningitidis serogroup W', 'Neisseria meningitidis serogroup W-135', 'Neisseria meningitidis serogroup X', 'Neisseria meningitidis serogroup Y', 'Salmonella enterica subsp. enterica serovar Enteritidis (Salmonella enterica serovar Enteritidis)', 'Salmonella enterica subsp. enterica serovar Typhi', 'Salmonella enterica subsp. enterica serovar Typhimurium', 'Salmonella typhi 620Ty', 'Streptococcus agalactiae', 'Streptococcus agalactiae 18RS21 (Streptococcus agalactiae str. 18RS21)', 'Streptococcus agalactiae CJB111 (Streptococcus agalactiae str. CJB111)', 'Streptococcus agalactiae H36B (Streptococcus agalactiae str. H36B)', 'Streptococcus agalactiae serogroup Ia', 'Streptococcus agalactiae serogroup III', 'Streptococcus agalactiae serogroup III M781', 'Streptococcus agalactiae serogroup V', 'Streptococcus agalactiae serogroup VII strain 7271', 'Streptococcus anginosus K214-2K', 'Streptococcus dysgalactiae subsp. equisimilis ATCC 12388', 'Streptococcus pneumoniae', 'Streptococcus pneumoniae 23F', 'Streptococcus pneumoniae 7F', 'Streptococcus pneumoniae CCUG 1378', 'Streptococcus pneumoniae type 1', 'Streptococcus pneumoniae type 10A', 'Streptococcus pneumoniae type 14', 'Streptococcus pneumoniae type 19A', 'Streptococcus pneumoniae type 19F', 'Streptococcus pneumoniae type 2', 'Streptococcus pneumoniae type 27', 'Streptococcus pneumoniae type 3', 'Streptococcus pneumoniae type 37', 'Streptococcus pneumoniae type 6A', 'Streptococcus pneumoniae type 6B', 'Streptococcus pneumoniae type 8', 'Streptococcus pyogenes', 'Streptococcus pyogenes serotype M3 D58', ""Streptococcus sp. 'group A'"", ""Streptococcus sp. 'group B'"", 'Streptococcus suis 1178027', 'Streptococcus suis 13730', 'Streptococcus suis 2651', 'Streptococcus suis S735 (Streptococcus suis str. S735)', 'Trypanosoma cruzi', 'Vibrio vulnificus BO62316', 'Vibrio vulnificus MO6-24/O (Vibrio vulnificus str. MO6-24/O)']","['Canis lupus familiaris (dogs)', 'Equid (horse)', 'Equus caballus (domestic horse)', 'Felis catus (cat)', 'Homo sapiens (human)', 'Macaca mulatta (rhesus macaque)', 'Mus musculus A/J', 'Mus musculus BALB/c', 'Mus musculus BALB/c X DBA/2', 'Mus musculus C57BL/6', 'Mus musculus CD1', 'Mus musculus (mouse)', 'Mus musculus NHI Swiss', 'Mus musculus Swiss Webster', 'Oryctolagus cuniculus New Zealand White', 'Oryctolagus cuniculus (rabbit)', 'Ovis aries (domestic sheep)', 'Sus scrofa (pig)']"
ChEBI:28640,['lipoteichoic acid'],"['Clostridioides difficile 630 (Clostridium difficile 630 (epidemic type X))', 'Clostridium difficile', 'Streptococcus pyogenes']","['Homo sapiens (human)', 'Mus musculus BALB/c', 'Mus musculus C57BL/6', 'Oryctolagus cuniculus (rabbit)']"
UNIPROT:P0C0D1,['DNA replication and repair protein RecF (UniProt:P0C0D1)'],['Streptococcus pyogenes'],['Homo sapiens (human)']
UNIPROT:P0C0E0,"[""DNA-directed RNA polymerase subunit beta' (UniProt:P0C0E0)""]",['Streptococcus pyogenes'],['Homo sapiens (human)']
UNIPROT:P0C0E1,['Trigger factor (UniProt:P0C0E1)'],['Streptococcus pyogenes'],['Homo sapiens (human)']
UNIPROT:P0C0E3,['Lantibiotic transport ATP-binding protein SrtF (UniProt:P0C0E3)'],['Streptococcus pyogenes'],['Homo sapiens (human)']
UNIPROT:P0C0I3,['Streptolysin O (UniProt:P0C0I3)'],"['Streptococcus pyogenes', 'Streptococcus pyogenes MGAS10394 (Streptococcus pyogenes str. MGAS10394)']","['Homo sapiens (human)', 'Mus musculus HLA-DR3 Tg']"
UNIPROT:P10520,['Streptokinase A (UniProt:P10520)'],"['Streptococcus pyogenes', 'Streptococcus pyogenes serotype M12 A374', 'Streptococcus pyogenes serotype M3 D58']","['Homo sapiens (human)', 'Mus musculus (mouse)', 'Oryctolagus cuniculus (rabbit)']"
UNIPROT:P58099,['C5a peptidase (UniProt:P58099)'],['Streptococcus pyogenes'],"['Homo sapiens (human)', 'Mus musculus (C57BL/6 X A/J)']"
UNIPROT:Q7DAL7,['Protein GRAB (Protein G-related alpha 2M-binding protein) (UniProt:Q7DAL7)'],"['Streptococcus pyogenes', 'Streptococcus pyogenes M1 GAS (Streptococcus pyogenes (serotype 1 / M1 GAS))']","['Homo sapiens (human)', 'Mus musculus Quackenbush']"
UNIPROT:Q99XU9,['M protein trans-acting positive regulator (UniProt:Q99XU9)'],['Streptococcus pyogenes'],['Homo sapiens (human)']
UNIPROT:Q99XV0,['M protein type 1 (UniProt:Q99XV0)'],"['Streptococcus pyogenes', 'Streptococcus pyogenes 156', 'Streptococcus pyogenes 88/25', 'Streptococcus pyogenes 88/30', 'Streptococcus pyogenes 88/544', 'Streptococcus pyogenes 90/85', 'Streptococcus pyogenes BSA10', 'Streptococcus pyogenes M1 GAS (Streptococcus pyogenes (serotype 1 / M1 GAS))', 'Streptococcus pyogenes NS1', 'Streptococcus pyogenes NS14', 'Streptococcus pyogenes NS27', 'Streptococcus pyogenes NS5', 'Streptococcus pyogenes serotype M11', 'Streptococcus pyogenes serotype M12', 'Streptococcus pyogenes serotype M13', 'Streptococcus pyogenes serotype M18 (Streptococcus pyogenes (serotype M18))', 'Streptococcus pyogenes serotype M2', 'Streptococcus pyogenes serotype M22', 'Streptococcus pyogenes serotype M24', 'Streptococcus pyogenes serotype M30', 'Streptococcus pyogenes serotype M3 (Streptococcus pyogenes (serotype M3))', 'Streptococcus pyogenes serotype M4', 'Streptococcus pyogenes serotype M41', 'Streptococcus pyogenes serotype M49', 'Streptococcus pyogenes serotype M5', 'Streptococcus pyogenes serotype M52', 'Streptococcus pyogenes serotype M54', 'Streptococcus pyogenes serotype M55', 'Streptococcus pyogenes serotype M57', 'Streptococcus pyogenes serotype M6', 'Streptococcus pyogenes serotype M60', 'Streptococcus pyogenes serotype M6 strain D471', 'Streptococcus pyogenes serotype M75', 'Streptococcus pyogenes serotype M8', 'Streptococcus pyogenes serotype M80', 'Streptococcus pyogenes str. Manfredo (Streptococcus pyogenes Manfredo)', ""Streptococcus sp. 'group A'""]","['Cavia porcellus (guinea pig)', 'Homo sapiens Australian Aboriginal', 'Homo sapiens Caucasian', 'Homo sapiens (human)', 'Mus musculus B10.BR', 'Mus musculus B10.D2', 'Mus musculus B10.M', 'Mus musculus B10.RIII', 'Mus musculus B10.S', 'Mus musculus B10.S(7R)', 'Mus musculus BALB/c', 'Mus musculus C3H.NB', 'Mus musculus C57BL/10', 'Mus musculus C57BL/10SnJ', 'Mus musculus C57BL/10 X DBA/2', 'Mus musculus C57BL/6', 'Mus musculus CBA/Ca', 'Mus musculus DBA/1', 'Mus musculus HLA-DQ6 Tg', 'Mus musculus (mouse)', 'Mus musculus MRL', 'Mus musculus NZW', 'Mus musculus Quackenbush', 'Mus musculus Swiss', 'Mus musculus Swiss Webster', 'Oryctolagus cuniculus New Zealand White', 'Oryctolagus cuniculus (rabbit)', 'Rattus norvegicus Lewis']"
UNIPROT:Q99Y17,['PTS system lactose-specific EIICB component (UniProt:Q99Y17)'],['Streptococcus pyogenes'],['Homo sapiens (human)']
UNIPROT:Q99Y20,['Salivaricin A modification enzyme amino acid dehydration (UniProt:Q99Y20)'],['Streptococcus pyogenes'],['Homo sapiens (human)']
UNIPROT:Q99Y99,['Immunogenic secreted-like protein (UniProt:Q99Y99)'],['Streptococcus pyogenes'],['Homo sapiens (human)']
