source_organism,host_organisms,antigen_name,gene_name,Uniprot_ID,source
['Treponema pallidum subsp. pallidum str. Nichols (Treponema pallidum Nichols)'],"['Homo sapiens (human)', 'Oryctolagus cuniculus New Zealand White']",['Putative outer membrane protein assembly factor TP_0326 (UniProt:O83346)'],,O83346,IEDB
['Treponema pallidum'],['Homo sapiens (human)'],['Protein-glutamate methylesterase/protein-glutamine glutaminase (UniProt:O83639)'],,O83639,IEDB
['Treponema pallidum'],['Homo sapiens (human)'],['Treponemal membrane protein A (UniProt:P07643)'],,P07643,IEDB
['Treponema pallidum subsp. pallidum str. Nichols (Treponema pallidum Nichols)'],"['Homo sapiens (human)', 'Oryctolagus cuniculus New Zealand White', 'Oryctolagus cuniculus (rabbit)']",['15 kDa lipoprotein (UniProt:P16055)'],,P16055,IEDB
['Treponema pallidum'],['Homo sapiens (human)'],['Chaperonin GroEL (UniProt:P23033)'],,P23033,IEDB
"['Treponema pallidum', 'Treponema pallidum subsp. pallidum str. Nichols (Treponema pallidum Nichols)']","['Homo sapiens (human)', 'Oryctolagus cuniculus New Zealand White']",['Putative DD-carboxypeptidase TP_0574 (UniProt:P29723)'],,P29723,IEDB
treponema pallidum,Homo sapiens,methylgalactoside ABC transporter,TP0684,,literature
treponema pallidum,Homo sapiens,17kDa lipoprotein,Tp0435,,literature
treponema pallidum,Homo sapiens,rare lipoprotein A,TP0993,,literature
treponema pallidum,Homo sapiens,carboxypeptidase,TP0574,,literature
treponema pallidum,Homo sapiens,glycerophosphoryldiester phosphodiesterase,TP0257,,literature
treponema pallidum,Homo sapiens,membrane protein,TP0768,,literature
treponema pallidum,Homo sapiens,Tp33 protein,TP0957,,literature
treponema pallidum,Homo sapiens,hypothetical protein,TP0625,,literature
treponema pallidum,Homo sapiens,thioredoxin,TP0100,,literature
treponema pallidum,Homo sapiens,hypothetical protein,TP0463,,literature
treponema pallidum,Homo sapiens,conserved hypothetical protein,TP0567,,literature
treponema pallidum,Homo sapiens,hypothetical protein,TP0772,,literature
treponema pallidum,Homo sapiens,leucine-rich repeat protein TpLRR,TP0225,,literature
treponema pallidum,Homo sapiens,membrane antigen,TP0971,,literature
treponema pallidum,Homo sapiens,outer membrane protein,TP0326,,literature
treponema pallidum,Homo sapiens,basic membrane protein,TP1016,,literature
treponema pallidum,Homo sapiens,hypothetical protein,TP0693,,literature
treponema pallidum,Homo sapiens,conserved hypothetical protein,TP0954,,literature
treponema pallidum,Homo sapiens,flagellar hook-basal body complex protein,TP0398,,literature
treponema pallidum,Homo sapiens,flagellar hook protein,TP0727,,literature
treponema pallidum,Homo sapiens,outer membrane protein,TP0292,,literature
treponema pallidum,Homo sapiens,membrane lipoprotein,TP0319,,literature
treponema pallidum,Homo sapiens,conserved hypothetical protein,TP1002,,literature
treponema pallidum,Homo sapiens,hypothetical protein,TP0133,,literature
treponema pallidum,Homo sapiens,antigen,TP0486,,literature
treponema pallidum,Homo sapiens,hypothetical protein,TP0183,,literature
treponema pallidum,Homo sapiens,hypothetical protein,TP0618,,literature
treponema pallidum,Homo sapiens,carboxyl-terminal protease,TP0277,,literature
treponema pallidum,Homo sapiens,protein-methionine-S-oxide reductase,TP0633,,literature
treponema pallidum,Homo sapiens,hypothetical protein,TP0789,,literature
treponema pallidum,Homo sapiens,hypothetical protein,TP0434,,literature
treponema pallidum,Homo sapiens,conserved hypothetical protein,TP0469,,literature
treponema pallidum,Homo sapiens,lipoprotein,TP0821,,literature
treponema pallidum,Homo sapiens,hypothetical protein,TP0136,,literature
treponema pallidum,Homo sapiens,hypothetical protein,TP1001,,literature
treponema pallidum,Homo sapiens,conserved hypothetical protein,TP0468,,literature
treponema pallidum,Homo sapiens,pept-prolyl cis-trans isomer,TP0862,,literature
