accession,label,feature,subfeature,value
Q9ZK20,random,targetp,prob_noTP,0.99991
Q9ZK20,random,targetp,prob_SP,1.5e-05
Q9ZK20,random,targetp,prob_mTP,7.5e-05
B2USG1,random,targetp,prob_noTP,0.999883
B2USG1,random,targetp,prob_SP,8.3e-05
B2USG1,random,targetp,prob_mTP,3.4e-05
B9XXL6,random,targetp,prob_noTP,0.999979
B9XXL6,random,targetp,prob_SP,1.7e-05
B9XXL6,random,targetp,prob_mTP,5e-06
B2UTQ6,random,targetp,prob_noTP,0.999952
B2UTQ6,random,targetp,prob_SP,3.6e-05
B2UTQ6,random,targetp,prob_mTP,1.2e-05
B5Z9Q3,random,targetp,prob_noTP,0.994295
B5Z9Q3,random,targetp,prob_SP,2.2e-05
B5Z9Q3,random,targetp,prob_mTP,0.005683
O25608,random,targetp,prob_noTP,0.999652
O25608,random,targetp,prob_SP,3.5e-05
O25608,random,targetp,prob_mTP,0.000313
B6JPI5,random,targetp,prob_noTP,0.98338
B6JPI5,random,targetp,prob_SP,0.000338
B6JPI5,random,targetp,prob_mTP,0.016281
P56046,random,targetp,prob_noTP,0.999969
P56046,random,targetp,prob_SP,4e-06
P56046,random,targetp,prob_mTP,2.7e-05
B5Z6E8,random,targetp,prob_noTP,0.999941
B5Z6E8,random,targetp,prob_SP,4.7e-05
B5Z6E8,random,targetp,prob_mTP,1.1e-05
O25688,random,targetp,prob_noTP,0.999604
O25688,random,targetp,prob_SP,0.000162
O25688,random,targetp,prob_mTP,0.000234
O26043,random,targetp,prob_noTP,0.999907
O26043,random,targetp,prob_SP,5.4e-05
O26043,random,targetp,prob_mTP,3.9e-05
B2UUR0,random,targetp,prob_noTP,0.913616
B2UUR0,random,targetp,prob_SP,0.000182
B2UUR0,random,targetp,prob_mTP,0.086201
Q9ZKQ7,random,targetp,prob_noTP,0.838337
Q9ZKQ7,random,targetp,prob_SP,0.158039
Q9ZKQ7,random,targetp,prob_mTP,0.003624
O25679,random,targetp,prob_noTP,0.99993
O25679,random,targetp,prob_SP,4e-06
O25679,random,targetp,prob_mTP,6.6e-05
P64382,random,targetp,prob_noTP,0.99935
P64382,random,targetp,prob_SP,0.000153
P64382,random,targetp,prob_mTP,0.000497
Q1CTD7,random,targetp,prob_noTP,0.970399
Q1CTD7,random,targetp,prob_SP,0.029174
Q1CTD7,random,targetp,prob_mTP,0.000426
B5Z9V7,random,targetp,prob_noTP,0.999946
B5Z9V7,random,targetp,prob_SP,4.4e-05
B5Z9V7,random,targetp,prob_mTP,1e-05
Q48252,random,targetp,prob_noTP,0.999881
Q48252,random,targetp,prob_SP,5.5e-05
Q48252,random,targetp,prob_mTP,6.5e-05
Q48255,random,targetp,prob_noTP,0.995489
Q48255,random,targetp,prob_SP,0.001013
Q48255,random,targetp,prob_mTP,0.003497
B6JNE5,random,targetp,prob_noTP,0.994112
B6JNE5,random,targetp,prob_SP,0.000136
B6JNE5,random,targetp,prob_mTP,0.005751
B6JM61,random,targetp,prob_noTP,0.997101
B6JM61,random,targetp,prob_SP,0.002761
B6JM61,random,targetp,prob_mTP,0.000138
P56191,random,targetp,prob_noTP,0.998669
P56191,random,targetp,prob_SP,0.001268
P56191,random,targetp,prob_mTP,6.3e-05
P55977,random,targetp,prob_noTP,0.999983
P55977,random,targetp,prob_SP,9e-06
P55977,random,targetp,prob_mTP,8e-06
O25291,random,targetp,prob_noTP,0.999797
O25291,random,targetp,prob_SP,0.000198
O25291,random,targetp,prob_mTP,5e-06
