accession,label,feature,subfeature,value
Q99Y65,positive,rate4site_deeptmhmm,mean_outside_scores,3.0193548387106128e-05
Q99Y65,positive,rate4site_deeptmhmm,,-0.4239
Q99Y65,positive,rate4site_deeptmhmm,min_outside_scores,-0.5356
Q99Y65,positive,rate4site_deeptmhmm,max_outside_scores,2.4024
Q99Y65,positive,rate4site_deeptmhmm,mean_outside_scores,3.0193548387106128e-05
Q99Y65,positive,rate4site_deeptmhmm,,-0.4239
Q99Y65,positive,rate4site_deeptmhmm,min_outside_scores,-0.5356
Q99Y65,positive,rate4site_deeptmhmm,max_outside_scores,2.4024
Q99Y65,positive,rate4site_deeptmhmm,mean_outside_scores,3.0193548387106128e-05
Q99Y65,positive,rate4site_deeptmhmm,,-0.4239
Q99Y65,positive,rate4site_deeptmhmm,min_outside_scores,-0.5356
Q99Y65,positive,rate4site_deeptmhmm,max_outside_scores,2.4024
P63770,positive,rate4site_deeptmhmm,mean_outside_scores,3.02083333333063e-05
P63770,positive,rate4site_deeptmhmm,,-0.4925
P63770,positive,rate4site_deeptmhmm,min_outside_scores,-0.5911
P63770,positive,rate4site_deeptmhmm,max_outside_scores,2.0016
P63770,positive,rate4site_deeptmhmm,mean_outside_scores,3.02083333333063e-05
P63770,positive,rate4site_deeptmhmm,,-0.4925
P63770,positive,rate4site_deeptmhmm,min_outside_scores,-0.5911
P63770,positive,rate4site_deeptmhmm,max_outside_scores,2.0016
P63770,positive,rate4site_deeptmhmm,mean_outside_scores,3.02083333333063e-05
P63770,positive,rate4site_deeptmhmm,,-0.4925
P63770,positive,rate4site_deeptmhmm,min_outside_scores,-0.5911
P63770,positive,rate4site_deeptmhmm,max_outside_scores,2.0016
P0C0E3,positive,rate4site_deeptmhmm,mean_outside_scores,-3.711790393012607e-05
P0C0E3,positive,rate4site_deeptmhmm,,-0.115
P0C0E3,positive,rate4site_deeptmhmm,min_outside_scores,-0.115
P0C0E3,positive,rate4site_deeptmhmm,max_outside_scores,8.6605
P0C0E3,positive,rate4site_deeptmhmm,mean_outside_scores,-3.711790393012607e-05
P0C0E3,positive,rate4site_deeptmhmm,,-0.115
P0C0E3,positive,rate4site_deeptmhmm,min_outside_scores,-0.115
P0C0E3,positive,rate4site_deeptmhmm,max_outside_scores,8.6605
P0C0E3,positive,rate4site_deeptmhmm,mean_outside_scores,-3.711790393012607e-05
P0C0E3,positive,rate4site_deeptmhmm,,-0.115
P0C0E3,positive,rate4site_deeptmhmm,min_outside_scores,-0.115
P0C0E3,positive,rate4site_deeptmhmm,max_outside_scores,8.6605
P0C0E3,positive,rate4site_deeptmhmm,mean_outside_scores,-3.711790393012607e-05
P0C0E3,positive,rate4site_deeptmhmm,,-0.115
P0C0E3,positive,rate4site_deeptmhmm,min_outside_scores,-0.115
P0C0E3,positive,rate4site_deeptmhmm,max_outside_scores,8.6605
P0C0E3,positive,rate4site_deeptmhmm,mean_outside_scores,-3.711790393012607e-05
P0C0E3,positive,rate4site_deeptmhmm,,-0.115
P0C0E3,positive,rate4site_deeptmhmm,min_outside_scores,-0.115
P0C0E3,positive,rate4site_deeptmhmm,max_outside_scores,8.6605
P0C0H3,positive,rate4site_deeptmhmm,mean_outside_scores,-1.0989010989034789e-05
P0C0H3,positive,rate4site_deeptmhmm,,-0.2746
P0C0H3,positive,rate4site_deeptmhmm,min_outside_scores,-0.4213
P0C0H3,positive,rate4site_deeptmhmm,max_outside_scores,3.4393
P0C0H3,positive,rate4site_deeptmhmm,mean_outside_scores,-1.0989010989034789e-05
P0C0H3,positive,rate4site_deeptmhmm,,-0.2746
P0C0H3,positive,rate4site_deeptmhmm,min_outside_scores,-0.4213
P0C0H3,positive,rate4site_deeptmhmm,max_outside_scores,3.4393
P0C0H3,positive,rate4site_deeptmhmm,mean_outside_scores,-1.0989010989034789e-05
P0C0H3,positive,rate4site_deeptmhmm,,-0.2746
P0C0H3,positive,rate4site_deeptmhmm,min_outside_scores,-0.4213
P0C0H3,positive,rate4site_deeptmhmm,max_outside_scores,3.4393
P0C0G6,positive,rate4site_deeptmhmm,mean_outside_scores,-4.5535714285715485e-05
P0C0G6,positive,rate4site_deeptmhmm,,-0.0546
P0C0G6,positive,rate4site_deeptmhmm,min_outside_scores,-0.0546
P0C0G6,positive,rate4site_deeptmhmm,max_outside_scores,18.2757
P0C0G6,positive,rate4site_deeptmhmm,mean_outside_scores,-4.5535714285715485e-05
P0C0G6,positive,rate4site_deeptmhmm,,-0.0546
P0C0G6,positive,rate4site_deeptmhmm,min_outside_scores,-0.0546
P0C0G6,positive,rate4site_deeptmhmm,max_outside_scores,18.2757
P0C0G6,positive,rate4site_deeptmhmm,mean_outside_scores,-4.5535714285715485e-05
P0C0G6,positive,rate4site_deeptmhmm,,-0.0546
P0C0G6,positive,rate4site_deeptmhmm,min_outside_scores,-0.0546
P0C0G6,positive,rate4site_deeptmhmm,max_outside_scores,18.2757
P0C0G6,positive,rate4site_deeptmhmm,mean_outside_scores,-4.5535714285715485e-05
P0C0G6,positive,rate4site_deeptmhmm,,-0.0546
P0C0G6,positive,rate4site_deeptmhmm,min_outside_scores,-0.0546
P0C0G6,positive,rate4site_deeptmhmm,max_outside_scores,18.2757
P66063,positive,rate4site_deeptmhmm,mean_outside_scores,-4.958677685953079e-06
P66063,positive,rate4site_deeptmhmm,,-0.2936
P66063,positive,rate4site_deeptmhmm,min_outside_scores,-0.4361
P66063,positive,rate4site_deeptmhmm,max_outside_scores,3.3126
P66063,positive,rate4site_deeptmhmm,mean_outside_scores,-4.958677685953079e-06
P66063,positive,rate4site_deeptmhmm,,-0.2936
P66063,positive,rate4site_deeptmhmm,min_outside_scores,-0.4361
P66063,positive,rate4site_deeptmhmm,max_outside_scores,3.3126
Q99Z68,positive,rate4site_deeptmhmm,mean_outside_scores,9.19811320756442e-06
Q99Z68,positive,rate4site_deeptmhmm,,-0.1294
Q99Z68,positive,rate4site_deeptmhmm,min_outside_scores,-0.1294
Q99Z68,positive,rate4site_deeptmhmm,max_outside_scores,7.7091
