Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_0|Q5F5U2|Large|XOQ75125.1|tpos:1-177,0.34,0.0,0.0,0.34,Allergen
antigen_14|Q50952||XOQ74826.1|tpos:1-912,0.279,0.5,-0.5,0.279,Non-Allergen
antigen_9|A0A088NJH2||XOQ75499.1|tpos:1-245,0.318,0.0,0.0,0.318,Allergen
antigen_10|Q5XKW2||XOQ75108.1|tpos:1-342,0.504,0.5,0.0,1.004,Allergen
antigen_11|Q9S369||XOQ76018.1|tpos:1-263,0.494,0.0,0.0,0.494,Allergen
antigen_15|Q9Z4N2|Transferrin-binding|XOQ74827.1|tpos:7-667,0.382,0.5,-0.5,0.382,Allergen
"antigen_81|A0AB74ECY7|6,7-dimethyl-8-ribityllumazine|XOQ75634.1|tpos:1-158",0.133,0.0,-0.5,-0.367,Non-Allergen
antigen_82|B4RRB6||XOQ75650.1|tpos:378-1594,0.283,0.5,-0.5,0.283,Non-Allergen
antigen_20|C6ZG64||XOQ75615.1|tpos:2-175,0.432,0.0,0.0,0.432,Allergen
antigen_21|Q8L2T6||XOQ76518.1|tpos:1-351,0.037,0.5,-0.5,0.037,Non-Allergen
antigen_1|Q5F6Q4|Transferrin-binding|XOQ74826.1|tpos:1-912,0.279,0.5,-0.5,0.279,Non-Allergen
antigen_37|Q5F7X2||XOQ75897.1|tpos:1-114,0.514,0.5,0.0,1.014,Allergen
antigen_13|B0B796|Transferrin-binding|XOQ74827.1|tpos:21-706,0.346,0.5,-0.5,0.346,Allergen
antigen_16|Q9S6B9||XOQ75358.1|tpos:1-713,0.239,0.5,0.0,0.739,Allergen
antigen_27|A0AA44ZGW8|Outer|XOQ75080.1|tpos:1-125,0.055,0.0,-0.5,-0.445,Non-Allergen
antigen_28|A0A378W121|Outer-membrane|XOQ76386.1|tpos:1-156,0.286,0.0,-0.5,-0.214,Non-Allergen
antigen_29|A0A379B184|LPS-assembly|XOQ75026.1|tpos:11-668,0.224,0.0,-0.5,-0.276,Non-Allergen
antigen_59|Q4PR64||XOQ75108.1|tpos:1-346,0.466,0.5,0.0,0.966,Allergen
antigen_60|A0A378VZD7|DNA|XOQ75688.1|tpos:167-454,0.131,0.0,0.0,0.131,Non-Allergen
antigen_61|A0A378VYF7||XOQ75806.1|tpos:64-149,0.451,0.5,0.5,1.451,Allergen
antigen_76|A0A2U9I6P4|50S|XOQ75125.1|tpos:13-150,0.247,0.0,0.0,0.247,Non-Allergen
antigen_77|A0A379B1C6|50S|XOQ75151.1|tpos:61-110,0.491,0.5,-0.5,0.491,Allergen
antigen_78|A0A378VXT8||XOQ76297.1|tpos:1-22,0.214,0.0,0.0,0.214,Non-Allergen
antigen_79|A0A379B0L0||XOQ75152.1|tpos:117-164,0.296,0.0,0.0,0.296,Non-Allergen
antigen_80|A0AB74ETB9|Ribosomal|XOQ75456.1|tpos:1-295,0.096,0.0,-0.5,-0.404,Non-Allergen
antigen_65|A0A378W2W5||XOQ75899.1|tpos:114-232,0.223,0.0,0.0,0.223,Non-Allergen
antigen_66|Q06758|Probable|XOQ74958.1|tpos:1-268,0.767,0.5,-0.5,0.767,Allergen
