Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq1,0.403,0.0,0,0.403,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq2,0.402,0.0,0,0.402,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq3,0.397,0.0,0,0.397,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq4,0.4,0.0,0,0.4,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq5,0.399,0.0,0,0.399,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq6,0.408,0.0,0,0.408,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq7,0.418,0.0,0,0.418,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq8,0.39,0.0,0,0.39,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq9,0.303,0.0,0,0.303,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq11,0.303,0.0,0,0.303,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq12,0.316,0.0,0,0.316,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq13,0.433,0.0,0,0.433,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq14,0.444,0.0,0,0.444,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq15,0.427,0.0,0,0.427,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq16,0.433,0.0,0,0.433,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq17,0.318,0.0,0,0.318,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq18,0.317,0.0,0,0.317,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq19,0.341,0.0,0,0.341,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq20,0.381,0.0,0,0.381,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq21,0.393,0.0,0,0.393,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq22,0.384,0.0,0,0.384,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq23,0.33,0.0,0,0.33,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq24,0.342,0.0,0,0.342,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq25,0.39,0.0,0,0.39,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq26,0.385,0.0,0,0.385,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq27,0.386,0.0,0,0.386,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq28,0.393,0.0,0,0.393,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq29,0.333,0.0,0,0.333,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq30,0.324,0.0,0,0.324,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq33,0.462,0.0,0,0.462,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq34,0.497,0.0,0,0.497,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq35,0.5,0.0,0,0.5,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq36,0.469,0.0,0,0.469,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq41,0.352,0.0,0,0.352,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq42,0.402,0.0,0,0.402,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq43,0.387,0.0,0,0.387,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq44,0.4,0.0,0,0.4,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq45,0.341,0.0,0,0.341,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq46,0.349,0.0,0,0.349,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq47,0.366,0.0,0,0.366,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq48,0.41,0.0,0,0.41,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq49,0.355,0.0,0,0.355,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq50,0.38,0.0,0,0.38,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq51,0.365,0.0,0,0.365,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq52,0.341,0.0,0,0.341,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq53,0.381,0.0,0,0.381,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq54,0.415,0.0,0,0.415,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq55,0.42,0.0,0,0.42,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq56,0.387,0.0,0,0.387,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq57,0.407,0.0,0,0.407,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq58,0.391,0.0,0,0.391,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq59,0.392,0.0,0,0.392,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq60,0.382,0.0,0,0.382,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq61,0.402,0.0,0,0.402,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq62,0.365,0.0,0,0.365,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq63,0.386,0.0,0,0.386,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq64,0.38,0.0,0,0.38,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq65,0.417,0.0,0,0.417,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq66,0.434,0.0,0,0.434,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq67,0.38,0.0,0,0.38,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq68,0.398,0.0,0,0.398,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq69,0.332,0.5,0,0.832,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq70,0.33,0.5,0,0.83,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq71,0.275,0.5,0,0.775,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq72,0.274,0.5,0,0.774,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq73,0.406,0.0,0,0.406,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq74,0.466,0.0,0,0.466,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq75,0.494,0.0,0,0.494,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq76,0.518,0.0,0,0.518,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq77,0.399,0.0,0,0.399,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq78,0.408,0.0,0,0.408,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq79,0.39,0.0,0,0.39,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq80,0.389,0.0,0,0.389,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq83,0.304,0.0,0,0.304,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq87,0.313,0.0,0,0.313,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq88,0.318,0.0,0,0.318,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq89,0.39,0.0,0,0.39,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq90,0.35,0.0,0,0.35,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq91,0.324,0.0,0,0.324,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq92,0.318,0.0,0,0.318,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq93,0.309,0.0,0,0.309,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq94,0.315,0.0,0,0.315,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq95,0.326,0.0,0,0.326,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq96,0.34,0.0,0,0.34,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq97,0.336,0.0,0,0.336,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq98,0.315,0.0,0,0.315,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq99,0.307,0.0,0,0.307,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq101,0.412,0.0,0,0.412,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq102,0.424,0.0,0,0.424,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq103,0.379,0.0,0,0.379,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq104,0.358,0.0,0,0.358,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq105,0.429,0.0,0,0.429,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq106,0.4,0.0,0,0.4,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq107,0.431,0.0,0,0.431,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq108,0.435,0.0,0,0.435,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq109,0.456,0.0,0,0.456,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq110,0.47,0.0,0,0.47,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq111,0.459,0.0,0,0.459,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq112,0.428,0.0,0,0.428,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq113,0.414,0.0,0,0.414,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq114,0.327,0.0,0,0.327,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq117,0.474,0.0,0,0.474,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq118,0.421,0.0,0,0.421,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq119,0.341,0.0,0,0.341,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq122,0.306,0.0,0,0.306,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq123,0.333,0.0,0,0.333,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq124,0.362,0.0,0,0.362,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq125,0.312,0.0,0,0.312,Allergen
antigen66|A0A1S6DAJ0|HE681097.1|mhci|seq126,0.354,0.0,0,0.354,Allergen
