Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen53|Q2FIK4|HE681097.1|mhcii|seq1,0.391,0,0,0.391,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq2,0.396,0,0,0.396,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq3,0.429,0,0,0.429,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq4,0.439,0,0,0.439,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq5,0.38,0,0,0.38,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq6,0.356,0,0,0.356,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq7,0.364,0,0,0.364,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq8,0.461,0,0,0.461,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq9,0.392,0,0,0.392,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq10,0.376,0,0,0.376,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq11,0.402,0,0,0.402,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq12,0.425,0,0,0.425,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq13,0.419,0,0,0.419,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq14,0.426,0,0,0.426,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq15,0.417,0,0,0.417,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq16,0.411,0,0,0.411,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq17,0.462,0,0,0.462,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq18,0.465,0,0,0.465,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq19,0.405,0,0,0.405,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq20,0.374,0,0,0.374,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq21,0.399,0,0,0.399,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq22,0.399,0,0,0.399,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq23,0.453,0,0,0.453,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq24,0.499,0,0,0.499,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq25,0.486,0,0,0.486,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq26,0.516,0,0,0.516,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq27,0.497,0,0,0.497,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq28,0.419,0,0,0.419,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq29,0.401,0,0,0.401,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq30,0.385,0,0,0.385,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq31,0.394,0,0,0.394,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq32,0.381,0,0,0.381,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq33,0.409,0,0,0.409,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq34,0.394,0,0,0.394,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq35,0.387,0,0,0.387,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq36,0.39,0,0,0.39,Allergen
antigen53|Q2FIK4|HE681097.1|mhcii|seq37,0.393,0,0,0.393,Allergen
