Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq1,0.49,0,0,0.49,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq2,0.453,0,0,0.453,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq3,0.419,0,0,0.419,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq4,0.42,0,0,0.42,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq5,0.418,0,0,0.418,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq6,0.41,0,0,0.41,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq7,0.406,0,0,0.406,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq8,0.415,0,0,0.415,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq9,0.434,0,0,0.434,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq10,0.441,0,0,0.441,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq11,0.45,0,0,0.45,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq12,0.49,0,0,0.49,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq13,0.493,0,0,0.493,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq14,0.458,0,0,0.458,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq15,0.42,0,0,0.42,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq16,0.421,0,0,0.421,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq17,0.416,0,0,0.416,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq18,0.414,0,0,0.414,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq19,0.413,0,0,0.413,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq20,0.404,0,0,0.404,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq21,0.418,0,0,0.418,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq22,0.432,0,0,0.432,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq23,0.435,0,0,0.435,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq24,0.442,0,0,0.442,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq25,0.439,0,0,0.439,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq26,0.439,0,0,0.439,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq27,0.419,0,0,0.419,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq28,0.422,0,0,0.422,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq29,0.418,0,0,0.418,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq30,0.405,0,0,0.405,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq31,0.413,0,0,0.413,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq32,0.422,0,0,0.422,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq33,0.445,0,0,0.445,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq34,0.44,0,0,0.44,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq35,0.325,0,0,0.325,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq36,0.329,0,0,0.329,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq37,0.35,0,0,0.35,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq38,0.345,0,0,0.345,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq39,0.338,0,0,0.338,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq40,0.343,0,0,0.343,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq41,0.345,0,0,0.345,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq42,0.335,0,0,0.335,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq43,0.342,0,0,0.342,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq44,0.344,0,0,0.344,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq45,0.349,0,0,0.349,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq46,0.361,0,0,0.361,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq47,0.369,0,0,0.369,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq48,0.362,0,0,0.362,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq49,0.362,0,0,0.362,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq50,0.39,0,0,0.39,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq51,0.439,0,0,0.439,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq52,0.437,0,0,0.437,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq53,0.436,0,0,0.436,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq54,0.417,0,0,0.417,Allergen
antigen74|A0A0H2XIH9|HE681097.1|mhcii|seq55,0.423,0,0,0.423,Allergen
