# SignalP-5.0	Organism: euk	Timestamp: 20250915144345
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
antigen_3|O50174|N-succinylglutamate|CP129685.1|tpos:1252327-1252779	OTHER	0.002359	0.997641	
antigen_78|A0A072ZPK0|Ferric|CP129685.1|tpos:1396737-1397358	OTHER	0.002657	0.997343	
antigen_112|A0A022P4P8|Flagellum-specific|CP129685.1|tpos:671395-671845	OTHER	0.001915	0.998085	
antigen_11|P38100|Carbamoyl|CP129685.1|tpos:158546-159618	OTHER	0.352211	0.647789	
antigen_126|O31209|OprD2-like|CP129685.1|tpos:642335-642678	OTHER	0.109041	0.890959	
antigen_20|Q9HTK0|4-hydroxybenzoate|CP129685.1|tpos:541834-542065	OTHER	0.474162	0.525838	
antigen_49|Q9I1Z2|Probable|CP129685.1|tpos:1660970-1661262	OTHER	0.001074	0.998926	
antigen_73|A0A072ZHM5|Protease|CP129685.1|tpos:2219097-2219217	OTHER	0.002267	0.997733	
antigen_108|A0A0C7D622|Esterase|CP129685.1|tpos:2018500-2018882	OTHER	0.000626	0.999374	
antigen_25|Q9HUI6|Probable|CP129685.1|tpos:76165-76550	OTHER	0.000608	0.999392	
antigen_91|A0A023WGH4|OprD|CP129685.1|tpos:642324-642680	OTHER	0.025721	0.974279	
antigen_83|Q5DIP6|FpvA|CP129685.1|tpos:130495-131170	OTHER	0.001660	0.998340	
antigen_67|Q9I6V9|Protein-glutamate|CP129685.1|tpos:149622-149723	OTHER	0.001062	0.998938	
antigen_117|A0A0H2ZE02|Haem|CP129685.1|tpos:556397-557007	OTHER	0.002577	0.997423	
antigen_81|Q51459|FliS,|CP129685.1|tpos:668434-668544	OTHER	0.000854	0.999146	
antigen_101|A0A0F6RVG0|Multidrug|CP129685.1|tpos:1145219-1145674	SP(Sec/SPI)	0.915185	0.084815	CS pos: 18-19. VGP-DY. Pr: 0.2760
antigen_71|A0A069PY18|Alginate|CP129685.1|tpos:1751548-1751755	OTHER	0.000451	0.999549	
antigen_61|Q9I4S0|Probable|CP129685.1|tpos:652489-653421	OTHER	0.389381	0.610619	
antigen_127|A0A0H2ZKS8|Anaerobically-induced|CP129685.1|tpos:642322-642680	OTHER	0.017197	0.982803	
antigen_89|A0A0H2ZCB8|Glucose/carbohydrate|CP129685.1|tpos:1830124-1830521	SP(Sec/SPI)	0.990043	0.009957	CS pos: 18-19. AQA-AE. Pr: 0.8942
antigen_106|A0AAQ3LQT5|Aminopeptidase|CP129685.1|tpos:2018317-2018413	OTHER	0.004734	0.995266	
antigen_10|P26276|Phosphomannomutase/phosphoglucomutase|CP129685.1|tpos:161224-161542	OTHER	0.010339	0.989661	
antigen_75|A0A0H2Z8K0|Alkaline|CP129685.1|tpos:516036-516516	SP(Sec/SPI)	0.952080	0.047920	CS pos: 24-25. AFA-LG. Pr: 0.8896
antigen_96|P95434|Type|CP129685.1|tpos:798065-798149	OTHER	0.001027	0.998973	
antigen_105|A0A069Q5C5|Elongation|CP129685.1|tpos:950971-951461	OTHER	0.006603	0.993397	
antigen_6|P11439|Exotoxin|CP129685.1|tpos:1216383-1216818	OTHER	0.001420	0.998580	
antigen_42|Q9I0T2|3-sulfinopropanoyl-CoA|CP129685.1|tpos:766212-766577	OTHER	0.000935	0.999065	
antigen_103|A0A073A194|Multidrug|CP129685.1|tpos:1145207-1145678	SP(Sec/SPI)	0.867724	0.132276	CS pos: 26-27. SAC-TV. Pr: 0.2093
antigen_53|Q9I3D5|Succinate|CP129685.1|tpos:748743-749332	OTHER	0.003133	0.996867	
antigen_4|O50274|Bifunctional|CP129685.1|tpos:297635-298267	OTHER	0.000810	0.999190	
antigen_121|A0A072ZMQ5|Paerucumarin|CP129685.1|tpos:1036376-1036703	OTHER	0.000980	0.999020	
antigen_7|P13794|Outer|CP129685.1|tpos:1683976-1684084	OTHER	0.000973	0.999027	
antigen_34|Q9HXX9|Probable|CP129685.1|tpos:973566-973760	OTHER	0.015884	0.984116	
antigen_70|Q9Z9H0|Bifunctional|CP129685.1|tpos:1671142-1672041	OTHER	0.000479	0.999521	
antigen_55|Q9I3R5|Probable|CP129685.1|tpos:577861-578762	OTHER	0.002082	0.997918	
antigen_21|Q9HTK2|Transcriptional|CP129685.1|tpos:1707745-1707830	OTHER	0.001058	0.998942	
antigen_30|Q9HW10|Probable|CP129685.1|tpos:704423-704538	OTHER	0.000777	0.999223	
antigen_31|Q9HWI0|D-alanine--D-alanine|CP129685.1|tpos:308468-308754	OTHER	0.063905	0.936095	
antigen_32|Q9HWM3|Ferric|CP129685.1|tpos:176954-177207	OTHER	0.001882	0.998118	
antigen_86|A0A0H2Z9M5|Major|CP129685.1|tpos:1683976-1684084	OTHER	0.000973	0.999027	
antigen_94|A0A077K2V7|Type|CP129685.1|tpos:795091-795480	OTHER	0.002599	0.997401	
antigen_58|Q9I414|Probable|CP129685.1|tpos:545108-545366	OTHER	0.000588	0.999412	
antigen_77|A0A1B2AS06|FAD-binding|CP129685.1|tpos:1556959-1557300	OTHER	0.055877	0.944123	
antigen_85|A0A232D6C1|ATPase,|CP129685.1|tpos:346809-347005	OTHER	0.001547	0.998453	
antigen_13|P77915|Oxygen-independent|CP129685.1|tpos:1998588-1998853	OTHER	0.008578	0.991422	
antigen_45|Q9I1F4|Monooxygenase|CP129685.1|tpos:766235-766460	OTHER	0.008420	0.991580	
antigen_125|A0A0H2ZEY4|Outer|CP129685.1|tpos:1746371-1746977	OTHER	0.001116	0.998884	
antigen_16|Q51390|Glycerol|CP129685.1|tpos:1644106-1644610	OTHER	0.000742	0.999258	
antigen_48|Q9I1T6|Methyltransferase|CP129685.1|tpos:786725-786822	OTHER	0.003764	0.996236	
antigen_119|A0A069PY60|InaA|CP129685.1|tpos:319432-319665	OTHER	0.001879	0.998121	
antigen_9|P22608|Type|CP129685.1|tpos:346864-347005	OTHER	0.001793	0.998207	
