# TargetP-2.0	Organism: Non-Plant	Timestamp: 20251019204106
# ID	Prediction	noTP	SP	mTP	CS Position
antigen_10|O25658|7-alpha-hydroxysteroid|XNZ28432.1|tpos:1-262	noTP	0.947240	0.000595	0.052165	
antigen_13|P56130|Putative|XNZ28560.1|tpos:1-418	noTP	0.999086	0.000378	0.000536	
antigen_25|P0A0R3|Co-chaperonin|XNZ28815.1|tpos:1-118	noTP	0.998342	0.000870	0.000788	
antigen_5|O25537|Lipid-A-disaccharide|XNZ29676.1|tpos:1-360	noTP	0.998962	0.000301	0.000737	
antigen_14|A0A1Q9J9W6|Outer|XNZ28612.1|tpos:308-479	noTP	0.996038	0.000649	0.003313	
antigen_16|A0A060PRJ6|Outer|XNZ29140.1|tpos:1-385	SP	0.003942	0.996035	0.000022	CS pos: 21-22. LHA-ED. Pr: 0.9264
antigen_23|Q70NT5|Heat|XNZ28816.1|tpos:94-273	noTP	0.986587	0.000333	0.013080	
antigen_24|J0IQC3|Outer|XNZ28817.1|tpos:37-667	noTP	0.997659	0.002066	0.000275	
antigen_11|O25794|tRNA(Ile)-lysidine/2-thiocytidine|XNZ29133.1|tpos:1-253	noTP	0.999890	0.000059	0.000050	
antigen_19|A0A060CUG4|Cag|XNZ29287.1|tpos:1-440	SP	0.010251	0.989514	0.000235	CS pos: 25-26. LNA-VA. Pr: 0.4759
antigen_18|A0A238GVV7|KatA|XNZ29682.1|tpos:1-291	noTP	0.859605	0.134382	0.006013	
antigen_21|A0A060PT92|LPP20|XNZ28949.1|tpos:1-175	SP	0.196103	0.723548	0.080349	CS pos: 22-23. VGC-SH. Pr: 0.5602
antigen_30|Q9ZHT1|Vacuolating|XNZ29474.1|tpos:2818-3188	noTP	0.998853	0.000193	0.000953	
antigen_20|P43313|DNA|XNZ28599.1|tpos:1-144	noTP	0.997372	0.000800	0.001828	
antigen_1|O25233|Potassium|XNZ29387.1|tpos:1-378	noTP	0.999887	0.000010	0.000103	
antigen_8|O25606|Conserved|XNZ29320.1|tpos:1-218	noTP	0.999958	0.000023	0.000019	
antigen_6|O25571|Outer|XNZ29367.1|tpos:1-530	noTP	0.632871	0.362814	0.004315	
antigen_26|Q6DT22|Adhesin|XNZ28817.1|tpos:146-334	noTP	0.999085	0.000092	0.000823	
antigen_27|Q9AI97|BabB|XNZ28804.1|tpos:167-332	noTP	0.998962	0.000238	0.000800	
antigen_28|Q7X2K0|SabA|XNZ28817.1|tpos:1-88	SP	0.000294	0.999680	0.000026	CS pos: 18-19. LNA-ED. Pr: 0.8846
antigen_7|O25578|Uncharacterized|XNZ29363.1|tpos:1-229	noTP	0.999999	0.000000	0.000001	
antigen_12|P56105|DNA|XNZ28936.1|tpos:1-897	noTP	0.980726	0.003314	0.015960	
antigen_17|A0A238GT21|Outer|XNZ28817.1|tpos:37-368	noTP	0.997659	0.002066	0.000275	
antigen_0|O25204|Competence|XNZ28810.1|tpos:1-87	noTP	0.997781	0.000552	0.001667	
antigen_22|G1UIZ3|Neutrophil-activating|XNZ28599.1|tpos:1-144	noTP	0.997372	0.000800	0.001828	
antigen_29|Q75X90|Cag|XNZ28977.1|tpos:17-287	noTP	0.999930	0.000049	0.000021	
antigen_3|O25522|Conserved|XNZ29665.1|tpos:1-226	noTP	0.999957	0.000014	0.000029	
antigen_4|O25532|Urease|XNZ29670.1|tpos:1-253	noTP	0.933742	0.060430	0.005828	
antigen_2|O25249|Plasminogen-binding|XNZ29403.1|tpos:1-449	SP	0.005138	0.994504	0.000358	CS pos: 19-20. QSA-SW. Pr: 0.4484
antigen_15|A0A219MBY0|DupA|XNZ28809.1|tpos:177-787	noTP	0.998945	0.000190	0.000865	
