# TargetP-2.0	Organism: Non-Plant	Timestamp: 20251009144128
# ID	Prediction	noTP	SP	mTP	CS Position
antigen_133|C1CG97|Putative|WP_000821636.1|tpos:1-80	noTP	0.610022	0.007152	0.382826	
antigen_134|C1CBC0|UPF0371|WP_050204537.1|tpos:1-494	noTP	0.999817	0.000077	0.000106	
antigen_159|C1CN42|N-acetyldiaminopimelate|WP_000885107.1|tpos:1-376	noTP	0.999615	0.000135	0.000250	
antigen_163|C1CT54|Anthranilate|WP_000658684.1|tpos:1-334	noTP	0.999917	0.000055	0.000028	
antigen_184|B5E6G7|Large|WP_000013542.1|tpos:1-180	noTP	0.999037	0.000054	0.000909	
antigen_186|Q8DQZ7|DNA|WP_050244751.1|tpos:1-353	noTP	0.996809	0.000503	0.002688	
antigen_191|C1C9E8|UPF0154|WP_000364990.1|tpos:1-82	SP	0.000763	0.999220	0.000017	CS pos: 20-21. ALG-GM. Pr: 0.9340
antigen_192|C1CTP8|Large|WP_000831905.1|tpos:1-44	noTP	0.999079	0.000056	0.000865	
antigen_193|Q97Q19|Phosphatidylglycerol--prolipoprotein|WP_050244703.1|tpos:1-262	noTP	0.988923	0.009822	0.001255	
antigen_76|C1CLY4|D-aminoacyl-tRNA|WP_000691400.1|tpos:1-147	noTP	0.994064	0.002012	0.003924	
antigen_1|C1CI34|DNA-directed|WP_000639577.1|tpos:1-77	noTP	0.999147	0.000150	0.000703	
antigen_3|B5E515|Bifunctional|WP_000850024.1|tpos:1-173	noTP	0.999875	0.000035	0.000090	
antigen_4|C1CUF5|Ribosomal|WP_000695929.1|tpos:1-159	noTP	0.999868	0.000018	0.000114	
antigen_6|C1CQV3|UPF0223|WP_001041971.1|tpos:1-92	noTP	0.999736	0.000186	0.000078	
antigen_7|B5E216|Regulatory|WP_000705097.1|tpos:1-258	noTP	0.999916	0.000016	0.000068	
antigen_9|Q04IK6|DNA-directed|WP_000907145.1|tpos:1-1203	noTP	0.999386	0.000212	0.000401	
antigen_23|Q04JI0|Probable|WP_000422599.1|tpos:1-195	noTP	0.998998	0.000187	0.000814	
antigen_25|C1CFJ7|Small|WP_001018251.1|tpos:1-89	noTP	0.999861	0.000018	0.000120	
antigen_27|Q04J70|Protein|WP_001274089.1|tpos:1-837	noTP	0.999923	0.000063	0.000015	
antigen_34|Q2MGI2|Peptide|WP_015511312.1|tpos:1-364	noTP	0.999817	0.000076	0.000107	
antigen_77|B8ZJJ5|Adenylosuccinate|WP_000205044.1|tpos:1-428	noTP	0.999820	0.000145	0.000035	
antigen_62|B2IMN3|Queuine|WP_001285241.1|tpos:1-380	noTP	0.999230	0.000091	0.000679	
antigen_110|C1CK48|Endoribonuclease|WP_000275156.1|tpos:1-165	noTP	0.999938	0.000046	0.000016	
antigen_188|Q97R94|Gamma-glutamyl|WP_000254686.1|tpos:1-420	noTP	0.999940	0.000034	0.000025	
antigen_119|B8ZN60|N-(5'-phosphoribosyl)anthranilate|WP_050233567.1|tpos:1-199	noTP	0.999810	0.000095	0.000096	
antigen_120|C1CSV9|Alanine|WP_000648083.1|tpos:1-367	noTP	0.850803	0.003510	0.145687	
antigen_122|B1I8M2|Small|WP_000090781.1|tpos:1-121	noTP	0.998799	0.000138	0.001062	
antigen_123|C1C5V9|Polyribonucleotide|WP_001814440.1|tpos:1-737	noTP	0.993556	0.000664	0.005780	
antigen_30|C1CLL2|ATP|WP_001054562.1|tpos:1-66	SP	0.028756	0.961617	0.009627	CS pos: 20-21. GEG-LL. Pr: 0.6376
antigen_31|C1CA16|Aspartate--ammonia|WP_000747993.1|tpos:1-330	noTP	0.999627	0.000047	0.000326	
antigen_16|B5E4T0|Tagatose-6-phosphate|WP_000604283.1|tpos:1-309	noTP	0.999676	0.000306	0.000018	
antigen_17|B2IRR9|Cell|WP_000053388.1|tpos:1-179	noTP	0.999926	0.000004	0.000070	
antigen_18|B5E5N3|3-dehydroquinate|WP_000702164.1|tpos:1-355	noTP	0.999908	0.000053	0.000039	
antigen_111|B5E677|ATP|WP_001054562.1|tpos:1-66	SP	0.028756	0.961617	0.009627	CS pos: 20-21. GEG-LL. Pr: 0.6376
antigen_112|C1CEF3|Galactose-6-phosphate|WP_001216910.1|tpos:1-171	noTP	0.999482	0.000428	0.000090	
antigen_114|B8ZKX1|Phosphatidylglycerol--prolipoprotein|WP_050244703.1|tpos:1-261	noTP	0.988923	0.009822	0.001255	
antigen_118|Q97S36|Phenylalanine--tRNA|WP_001813261.1|tpos:1-348	noTP	0.999739	0.000126	0.000136	
antigen_33|Q97SC7|DNA|WP_050244751.1|tpos:1-353	noTP	0.996809	0.000503	0.002688	
antigen_35|P59206|Putative|WP_078134949.1|tpos:20-677	SP	0.000367	0.999626	0.000006	CS pos: 23-24. AMA-SD. Pr: 0.9224
antigen_55|B1ICA2|UPF0122|WP_000402071.1|tpos:1-110	noTP	0.999407	0.000370	0.000223	
antigen_135|Q97T09|Methionine|WP_050213971.1|tpos:1-353	noTP	0.999957	0.000018	0.000025	
antigen_136|C1CIA0|Large|WP_000512911.1|tpos:1-277	noTP	0.986631	0.000220	0.013149	
antigen_137|B2IS65|Small|WP_000090781.1|tpos:1-121	noTP	0.998799	0.000138	0.001062	
antigen_138|C1CCB4|UPF0371|WP_050204537.1|tpos:1-494	noTP	0.999817	0.000077	0.000106	
antigen_19|B1ICB3|Large|WP_000710764.1|tpos:1-80	noTP	0.996572	0.000541	0.002887	
antigen_37|Q97TD1|Peptidyl-tRNA|WP_127244967.1|tpos:1-189	noTP	0.999815	0.000115	0.000070	
antigen_39|C1CL83|Chorismate|WP_001269864.1|tpos:1-388	noTP	0.997571	0.000263	0.002166	
antigen_40|B2IMT4|UvrABC|WP_001061111.1|tpos:1-615	noTP	0.998328	0.000311	0.001361	
antigen_86|Q04IA3|Glutamate--tRNA|WP_000031078.1|tpos:1-486	noTP	0.959844	0.000141	0.040015	
antigen_59|P0A4N1|Maltodextrin|WP_000414975.1|tpos:1-430	noTP	0.999442	0.000487	0.000071	
antigen_78|Q9EUQ7|Segregation|WP_000351907.1|tpos:1-242	noTP	0.999948	0.000044	0.000007	
antigen_79|P65537|Nucleoside|WP_000438285.1|tpos:1-137	noTP	0.999711	0.000149	0.000140	
antigen_80|P63733|Carbamoyl|WP_000166704.1|tpos:1-359	noTP	0.999791	0.000181	0.000028	
antigen_139|C1CSS4|Isoleucine--tRNA|WP_000768079.1|tpos:1-930	noTP	0.988615	0.000571	0.010815	
antigen_177|Q97QF9|Putative|WP_044812301.1|tpos:1-119	noTP	0.999388	0.000378	0.000234	
antigen_32|C1CQI9|Hydroxyethylthiazole|WP_001155198.1|tpos:1-267	noTP	0.997545	0.002332	0.000123	
antigen_124|Q97PL0|tRNA|WP_000199206.1|tpos:1-249	noTP	0.998560	0.000184	0.001256	
antigen_126|B5E4K3|UPF0758|WP_000286929.1|tpos:1-226	noTP	0.999770	0.000161	0.000069	
antigen_127|C1CBG2|Glycerol|WP_000076776.1|tpos:1-502	noTP	0.999893	0.000032	0.000075	
antigen_15|C1CIA9|Large|WP_000013542.1|tpos:1-180	noTP	0.999037	0.000054	0.000909	
antigen_60|C1CIY6|Probable|WP_000418402.1|tpos:1-195	noTP	0.999997	0.000001	0.000002	
antigen_61|P67506|tRNA|WP_001266078.1|tpos:1-211	noTP	0.999493	0.000092	0.000415	
antigen_2|B8ZKQ1|Adenylate|WP_001050436.1|tpos:1-212	noTP	0.989541	0.006735	0.003724	
antigen_5|C1CEC5|Tyrosine|WP_000817884.1|tpos:1-356	noTP	0.999900	0.000011	0.000090	
antigen_8|Q8CWR2|tRNA|WP_001013245.1|tpos:1-292	noTP	0.998933	0.000065	0.001001	
antigen_11|P21236|rRNA|WP_001038795.1|tpos:1-245	noTP	0.997635	0.000052	0.002313	
antigen_12|C1CQY3|UPF0342|WP_000065990.1|tpos:1-112	noTP	0.998379	0.000554	0.001066	
