accession,label,feature,subfeature,value
Q83D09,random,targetp,prob_noTP,0.017087
Q83D09,random,targetp,prob_SP,0.977088
Q83D09,random,targetp,prob_mTP,0.005825
B6J238,random,targetp,prob_noTP,0.887525
B6J238,random,targetp,prob_SP,0.000429
B6J238,random,targetp,prob_mTP,0.112046
B6IZD8,random,targetp,prob_noTP,0.981213
B6IZD8,random,targetp,prob_SP,0.005701
B6IZD8,random,targetp,prob_mTP,0.013087
Q83DN9,random,targetp,prob_noTP,0.999684
Q83DN9,random,targetp,prob_SP,0.000202
Q83DN9,random,targetp,prob_mTP,0.000114
A9KC14,random,targetp,prob_noTP,0.934291
A9KC14,random,targetp,prob_SP,0.000563
A9KC14,random,targetp,prob_mTP,0.065145
Q83BV3,random,targetp,prob_noTP,0.996704
Q83BV3,random,targetp,prob_SP,0.00107
Q83BV3,random,targetp,prob_mTP,0.002226
B6IZF7,random,targetp,prob_noTP,0.993608
B6IZF7,random,targetp,prob_SP,5e-06
B6IZF7,random,targetp,prob_mTP,0.006387
A9KD30,random,targetp,prob_noTP,0.999979
A9KD30,random,targetp,prob_SP,7e-06
A9KD30,random,targetp,prob_mTP,1.4e-05
Q83D18,random,targetp,prob_noTP,0.999259
Q83D18,random,targetp,prob_SP,4.5e-05
Q83D18,random,targetp,prob_mTP,0.000697
B6J031,random,targetp,prob_noTP,0.999962
B6J031,random,targetp,prob_SP,2.5e-05
B6J031,random,targetp,prob_mTP,1.3e-05
A9KGU5,random,targetp,prob_noTP,0.947358
A9KGU5,random,targetp,prob_SP,0.007574
A9KGU5,random,targetp,prob_mTP,0.045067
Q83DD0,random,targetp,prob_noTP,0.99986
Q83DD0,random,targetp,prob_SP,8e-06
Q83DD0,random,targetp,prob_mTP,0.000132
B6J8F9,random,targetp,prob_noTP,0.849319
B6J8F9,random,targetp,prob_SP,0.133269
B6J8F9,random,targetp,prob_mTP,0.017413
Q83C31,random,targetp,prob_noTP,0.977506
Q83C31,random,targetp,prob_SP,0.010878
Q83C31,random,targetp,prob_mTP,0.011615
B6J4E1,random,targetp,prob_noTP,0.999892
B6J4E1,random,targetp,prob_SP,3.2e-05
B6J4E1,random,targetp,prob_mTP,7.6e-05
B6J1K0,random,targetp,prob_noTP,0.997347
B6J1K0,random,targetp,prob_SP,0.00031
B6J1K0,random,targetp,prob_mTP,0.002344
A9KBK7,random,targetp,prob_noTP,0.999646
A9KBK7,random,targetp,prob_SP,0.00016
A9KBK7,random,targetp,prob_mTP,0.000194
A9KC35,random,targetp,prob_noTP,0.999248
A9KC35,random,targetp,prob_SP,0.000248
A9KC35,random,targetp,prob_mTP,0.000504
A9KBS8,random,targetp,prob_noTP,0.999538
A9KBS8,random,targetp,prob_SP,6.2e-05
A9KBS8,random,targetp,prob_mTP,0.000401
B6J3V5,random,targetp,prob_noTP,0.999678
B6J3V5,random,targetp,prob_SP,9.7e-05
B6J3V5,random,targetp,prob_mTP,0.000224
B6J4Q5,random,targetp,prob_noTP,0.993375
B6J4Q5,random,targetp,prob_SP,9e-05
B6J4Q5,random,targetp,prob_mTP,0.006536
B6J3N7,random,targetp,prob_noTP,0.971689
B6J3N7,random,targetp,prob_SP,0.02662
B6J3N7,random,targetp,prob_mTP,0.001692
B6J8M6,random,targetp,prob_noTP,0.998919
B6J8M6,random,targetp,prob_SP,0.000247
B6J8M6,random,targetp,prob_mTP,0.000834
B6IZ52,random,targetp,prob_noTP,0.999715
B6IZ52,random,targetp,prob_SP,0.000164
B6IZ52,random,targetp,prob_mTP,0.000121
A9KH31,random,targetp,prob_noTP,0.999934
A9KH31,random,targetp,prob_SP,8e-06
A9KH31,random,targetp,prob_mTP,5.8e-05
B6J289,random,targetp,prob_noTP,0.99832
B6J289,random,targetp,prob_SP,0.000142
B6J289,random,targetp,prob_mTP,0.001538
Q83BS0,random,targetp,prob_noTP,0.999962
Q83BS0,random,targetp,prob_SP,2.9e-05
Q83BS0,random,targetp,prob_mTP,8e-06
Q83E11,random,targetp,prob_noTP,0.999774
Q83E11,random,targetp,prob_SP,0.000205
Q83E11,random,targetp,prob_mTP,2.2e-05
Q83AC1,random,targetp,prob_noTP,0.998175
Q83AC1,random,targetp,prob_SP,0.000727
Q83AC1,random,targetp,prob_mTP,0.001098
B6J0J1,random,targetp,prob_noTP,0.812155
B6J0J1,random,targetp,prob_SP,0.004487
B6J0J1,random,targetp,prob_mTP,0.183358
B6J929,random,targetp,prob_noTP,0.998989
B6J929,random,targetp,prob_SP,0.00059
B6J929,random,targetp,prob_mTP,0.000421
B6J5D8,random,targetp,prob_noTP,0.999178
B6J5D8,random,targetp,prob_SP,8.2e-05
B6J5D8,random,targetp,prob_mTP,0.00074
