,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
0,antigen_61|Q9KGY9|Choline|NZ_CP079922.1|tpos:108303-108640,Extracellular,0.1261,0.8730,0.0000,0.0009,0.0000,0.0000
1,antigen_30|A0AAP5J5G2|ZmpA/ZmpB/ZmpC|NZ_CP079922.1|tpos:325723-326192,Extracellular,0.0924,0.8206,0.0142,0.0729,0.0000,0.0000
2,antigen_60|A0A4J1ZDL7|Beta-galactosidase|NZ_CP079922.1|tpos:20879-21473,Cytoplasmic,0.0002,0.0079,0.9913,0.0005,0.0000,0.0000
3,antigen_39|A0A0B7KUM4|Pneumococcal|NZ_CP079922.1|tpos:281537-282391,Cell wall & surface,0.7405,0.0123,0.0956,0.1517,0.0000,0.0000
4,antigen_31|A0A064C176|Zinc|NZ_CP079922.1|tpos:325368-326624,Extracellular,0.2773,0.7132,0.0004,0.0091,0.0000,0.0000
5,antigen_62|O05168|PCPC|NZ_CP079922.1|tpos:108303-108640,Extracellular,0.1261,0.8730,0.0000,0.0009,0.0000,0.0000
6,antigen_63|A0A0H2ZP79|BlpS|NZ_CP079922.1|tpos:148393-148504,Cytoplasmic,0.0001,0.0068,0.9719,0.0213,0.0000,0.0000
7,antigen_56|Q2XU26|Thiol-activated|NZ_CP079922.1|tpos:232002-232133,Cytoplasmic Membrane,0.0005,0.1054,0.0865,0.8076,0.0000,0.0000
8,antigen_11|Q8DQ08|Pneumococcal|NZ_CP079922.1|tpos:281537-282389,Cell wall & surface,0.7322,0.0135,0.0958,0.1586,0.0000,0.0000
9,antigen_3|Q8CZ44|Immunity|NZ_CP079922.1|tpos:150682-150758,Cytoplasmic Membrane,0.0000,0.0084,0.0003,0.9913,0.0000,0.0000
10,antigen_4|Q8DMZ4|N-acetylmuramoyl-L-alanine|NZ_CP079922.1|tpos:41377-41568,Cell wall & surface,0.6022,0.3761,0.0207,0.0009,0.0000,0.0000
11,antigen_10|Q8DQ07|Pneumococcal|NZ_CP079922.1|tpos:281537-281875,Cell wall & surface,0.4696,0.0612,0.4175,0.0517,0.0000,0.0000
12,antigen_16|Q8DQZ1|6-phospho-beta-galactosidase|NZ_CP079922.1|tpos:159052-159508,Cytoplasmic,0.0011,0.1494,0.8479,0.0017,0.0000,0.0000
13,antigen_46|A0A0T8T3N8|Endo-beta-N-acetylglucosaminidase|NZ_CP079922.1|tpos:270932-271633,Extracellular,0.2509,0.7390,0.0074,0.0027,0.0000,0.0000
14,antigen_43|U3MYA4|Pneumococcal|NZ_CP079922.1|tpos:40992-41264,Extracellular,0.1851,0.4251,0.3841,0.0057,0.0000,0.0000
15,antigen_44|A0A4J1YT67|Hyaluronate|NZ_CP079922.1|tpos:91297-91408,Cell wall & surface,0.6307,0.0043,0.0002,0.3649,0.0000,0.0000
16,antigen_1|Q59947|Immunoglobulin|NZ_CP079922.1|tpos:324662-326624,Cell wall & surface,0.8587,0.1377,0.0001,0.0035,0.0000,0.0000
17,antigen_22|A0A064C0M1|PspC|NZ_CP079922.1|tpos:256163-256252,Cytoplasmic Membrane,0.0000,0.0146,0.0001,0.9853,0.0000,0.0000
18,antigen_23|A0A6I3UXD9|Choline|NZ_CP079922.1|tpos:41433-41568,Cell wall & surface,0.6332,0.3415,0.0248,0.0005,0.0000,0.0000
19,antigen_24|A0A064BZ27|Choline|NZ_CP079922.1|tpos:262072-262697,Extracellular,0.2985,0.6893,0.0025,0.0098,0.0000,0.0000
20,antigen_25|A0A0S2VEM8|CbpG|NZ_CP079922.1|tpos:41397-41487,Extracellular,0.1551,0.8131,0.0127,0.0191,0.0000,0.0000
21,antigen_26|A0AAP5J8I6|LPXTG-anchored|NZ_CP079922.1|tpos:180659-182886,Cell wall & surface,0.7344,0.2494,0.0046,0.0116,0.0000,0.0000
22,antigen_2|Q7ZAK5|Pneumolysin|NZ_CP079922.1|tpos:232002-232133,Cytoplasmic Membrane,0.0005,0.1054,0.0865,0.8076,0.0000,0.0000
23,antigen_12|Q8DQN5|Zinc|NZ_CP079922.1|tpos:325339-326620,Extracellular,0.2956,0.6958,0.0003,0.0082,0.0000,0.0000
24,antigen_8|Q8DPK5|ABC|NZ_CP079922.1|tpos:352955-353675,Cytoplasmic Membrane,0.0000,0.0004,0.0000,0.9996,0.0000,0.0000
25,antigen_37|A0A5C5EC23|Pneumococcal|NZ_CP079922.1|tpos:281537-281851,Cell wall & surface,0.5029,0.2139,0.1770,0.1062,0.0000,0.0000
26,antigen_38|A0A6G2D4Q2|Pneumococcal|NZ_CP079922.1|tpos:281537-281851,Cell wall & surface,0.5029,0.2139,0.1770,0.1062,0.0000,0.0000
27,antigen_50|A0A062WSR0|Manganese|NZ_CP079922.1|tpos:463412-463693,Cytoplasmic Membrane,0.0000,0.0001,0.0000,0.9999,0.0000,0.0000
28,antigen_51|Q8DNW8|ABC|NZ_CP079922.1|tpos:34438-34633,Cytoplasmic Membrane,0.0004,0.0221,0.1265,0.8509,0.0000,0.0000
29,antigen_66|A0A062WSP2|Elongation|NZ_CP079922.1|tpos:124251-124414,Cytoplasmic,0.0000,0.0279,0.9679,0.0041,0.0000,0.0000
30,antigen_48|A0A0B7M798|Surface|NZ_CP079922.1|tpos:326470-326577,Extracellular,0.0027,0.5136,0.2563,0.2274,0.0000,0.0000
31,antigen_49|A0A822QE61|NADH|NZ_CP079922.1|tpos:443457-443703,Cytoplasmic,0.0001,0.0025,0.9641,0.0333,0.0000,0.0000
32,antigen_5|Q8DN05|Choline|NZ_CP079922.1|tpos:41248-41568,Cell wall & surface,0.7204,0.2748,0.0042,0.0007,0.0000,0.0000
33,antigen_33|A0A0H2UR96|Glycosyltransferase|NZ_CP079922.1|tpos:25068-25189,Cytoplasmic,0.0007,0.0789,0.7944,0.1260,0.0000,0.0000
34,antigen_36|A0A0E7XNV3|Pneumococcal|NZ_CP079922.1|tpos:281537-281875,Cell wall & surface,0.4696,0.0612,0.4175,0.0517,0.0000,0.0000
35,antigen_57|A0A4N5NE36|Surface|NZ_CP079922.1|tpos:41468-41568,Extracellular,0.4064,0.5864,0.0067,0.0005,0.0000,0.0000
36,antigen_59|Q8DRN0|Amphipathic|NZ_CP079922.1|tpos:12550-12625,Extracellular,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
37,antigen_17|Q8DRI0|Surface|NZ_CP079922.1|tpos:40950-41568,Cell wall & surface,0.7912,0.2043,0.0036,0.0009,0.0000,0.0000
38,antigen_32|A0A0T8ZSI6|YSIRK-type|NZ_CP079922.1|tpos:325879-326622,Extracellular,0.1528,0.7929,0.0008,0.0535,0.0000,0.0000
39,antigen_13|Q8DQN7|Histidine|NZ_CP079922.1|tpos:186121-186683,Cytoplasmic Membrane,0.0000,0.0015,0.0000,0.9985,0.0000,0.0000
40,antigen_55|A0A0B7LWN8|Oligopeptide-binding|NZ_CP079922.1|tpos:102918-103577,Cytoplasmic Membrane,0.0828,0.1099,0.0002,0.8071,0.0000,0.0000
41,antigen_29|A0AA86X9D8|IgA1|NZ_CP079922.1|tpos:325377-326624,Extracellular,0.2751,0.7150,0.0004,0.0095,0.0000,0.0000
