# TargetP-2.0	Organism: Non-Plant	Timestamp: 20251012004210
# ID	Prediction	noTP	SP	mTP	CS Position
antigen_107|P0C0B4|Arginine|WZK13609.1|tpos:1-411	noTP	0.999941	0.000025	0.000033	
antigen_108|Q99YE6|PTS|WZK13809.1|tpos:1-330	noTP	0.998223	0.001125	0.000652	
antigen_109|P68897|Phosphoglycerate|WZK13922.1|tpos:1-398	noTP	0.999941	0.000030	0.000029	
antigen_12|Q99Z76|Internalin|WZK13448.1|tpos:1-792	SP	0.042650	0.944063	0.013287	CS pos: 23-24. IAC-QS. Pr: 0.6718
antigen_18|Q9A147|42|WZK12765.1|tpos:1-389	SP	0.006810	0.993077	0.000113	CS pos: 23-24. ATA-QA. Pr: 0.5760
antigen_25|A0A0H3BWS8|Oligopeptide|WZK13945.1|tpos:1-656	SP	0.000479	0.999303	0.000217	CS pos: 21-22. ALA-AC. Pr: 0.4662
antigen_61|Q9A1P7|ABC|WZK12521.1|tpos:6-347	SP	0.093439	0.895569	0.010992	CS pos: 16-17. GGC-TN. Pr: 0.2294
antigen_63|Q9A1E5|Solute-binding|WZK12661.1|tpos:1-280	SP	0.018539	0.953796	0.027665	CS pos: 25-26. CGS-SK. Pr: 0.2300
antigen_65|Q9A156|Peptidyl-prolyl|WZK12755.1|tpos:1-268	SP	0.000489	0.999501	0.000010	CS pos: 20-21. SAC-ES. Pr: 0.7515
antigen_69|P60811|Foldase|WZK13472.1|tpos:1-351	SP	0.015036	0.983070	0.001894	CS pos: 23-24. AAC-QS. Pr: 0.5146
antigen_40|A0A5S4TFJ9|M-related|WZK13445.1|tpos:183-217	SP	0.070341	0.922452	0.007207	CS pos: 29-30. VVS-SK. Pr: 0.3776
antigen_41|P49054|Plasminogen-binding|WZK14007.1|tpos:13-456	SP	0.084098	0.912516	0.003386	CS pos: 22-23. GFA-NQ. Pr: 0.8029
antigen_42|A0A0H2UTU2|Ribosomal|WZK13000.1|tpos:1-108	noTP	0.900063	0.005177	0.094760	
antigen_43|A0A0H3BZD9|Protein|WZK13829.1|tpos:1-177	noTP	0.999977	0.000001	0.000022	
antigen_44|A0A4U7GVK4|Glycine|WZK13274.1|tpos:1-110	noTP	0.999372	0.000420	0.000208	
antigen_45|Q9XDB6|Surface|WZK13445.1|tpos:181-213	SP	0.162975	0.743044	0.093981	CS pos: ?. Probable protein fragment
antigen_122|Q99ZX2|Lipid|WZK13114.1|tpos:1-263	noTP	0.999943	0.000050	0.000007	
antigen_26|A0A5D3HKW0|Hypothetical|WZK13117.1|tpos:1-318	SP	0.076639	0.917442	0.005918	CS pos: 29-30. ASS-NH. Pr: 0.5650
antigen_68|Q99ZC0|Maltose/maltodextrin-binding|WZK13398.1|tpos:1-415	SP	0.110977	0.865000	0.024023	CS pos: 27-28. GSG-SK. Pr: 0.3722
antigen_71|P0C0I3|Streptolysin|WZK12525.1|tpos:1-571	SP	0.414087	0.581551	0.004362	CS pos: 31-32. ANA-ES. Pr: 0.4663
antigen_54|Q9A1S0|Streptococcal|WZK12494.1|tpos:1-215	SP	0.006752	0.993222	0.000026	CS pos: 26-27. VEA-EN. Pr: 0.9646
antigen_55|Q9A0J7|Endonuclease/exonuclease/phosphatase|WZK12938.1|tpos:1-910	SP	0.049078	0.946611	0.004311	CS pos: 27-28. VTS-RQ. Pr: 0.2898
antigen_64|P0A4G4|Iron|WZK12752.1|tpos:1-310	SP	0.031518	0.967060	0.001422	CS pos: 23-24. CSS-TG. Pr: 0.2605
antigen_66|Q99ZT1|NodB|WZK13167.1|tpos:1-320	noTP	0.997986	0.001581	0.000433	
antigen_67|Q99ZD7|Amino|WZK13322.1|tpos:1-278	SP	0.012658	0.982884	0.004458	CS pos: 24-25. CQA-TK. Pr: 0.8286
antigen_101|P66063|Large|WZK13149.1|tpos:1-121	noTP	0.997944	0.002046	0.000009	
antigen_102|P69949|Enolase|WZK12924.1|tpos:1-435	noTP	0.999459	0.000506	0.000034	
antigen_121|Q9A0X2|Phosphate|WZK12852.1|tpos:1-271	noTP	0.986878	0.011527	0.001595	
antigen_126|Q99XX5|Leucine-rich|WZK12594.1|tpos:1-282	noTP	0.999968	0.000027	0.000005	
antigen_22|Q9A1Z8|Secreted|WZK12405.1|tpos:1-398	SP	0.019930	0.977775	0.002294	CS pos: 19-20. GAA-TT. Pr: 0.3379
antigen_23|A0A4U7H0F4|Chaperone|WZK13828.1|tpos:1-608	noTP	0.999692	0.000219	0.000089	
antigen_24|A0A0H2UUQ6|Putative|WZK13398.1|tpos:1-415	SP	0.110977	0.865000	0.024023	CS pos: 27-28. GSG-SK. Pr: 0.3722
antigen_46|F8THZ1|Leucine|WZK13448.1|tpos:1-792	SP	0.042650	0.944063	0.013287	CS pos: 23-24. IAC-QS. Pr: 0.6718
antigen_34|A0A059T9M1|M|WZK14007.1|tpos:231-380	noTP	0.999943	0.000002	0.000054	
antigen_35|A2T8Z5|PrtF2|WZK12490.1|tpos:92-192	noTP	0.984605	0.004629	0.010766	
antigen_59|Q7DAL3|Collagen-like|WZK12590.1|tpos:1-348	noTP	0.418677	0.326261	0.255062	
antigen_123|Q99Z98|Outer|WZK13423.1|tpos:1-364	noTP	0.999839	0.000154	0.000007	
antigen_130|Q99XJ6|ABC-2|WZK14113.1|tpos:1-757	noTP	0.973352	0.020857	0.005791	
antigen_131|Q99XH9|DUF4115|WZK14131.1|tpos:1-341	noTP	0.999989	0.000007	0.000004	
antigen_20|Q9A180|Cell|WZK12729.1|tpos:1-1647	SP	0.178956	0.815831	0.005214	CS pos: 34-35. VAA-DE. Pr: 0.8106
antigen_93|Q99XY4|Proline--tRNA|WZK12603.1|tpos:1-618	noTP	0.979508	0.000594	0.019898	
antigen_114|P66634|Small|WZK12447.1|tpos:1-132	noTP	0.995733	0.003566	0.000701	
antigen_127|P58099|C5a|WZK14004.1|tpos:1-1164	noTP	0.536074	0.463233	0.000693	
antigen_10|Q99Y99|Immunogenic|WZK13858.1|tpos:1-503	SP	0.049998	0.949938	0.000064	CS pos: 22-23. AES-MT. Pr: 0.9047
antigen_50|A0A0H2UUI7|Capsule|WZK12998.1|tpos:38-430	noTP	0.547068	0.451430	0.001502	
antigen_51|A0A0H2UW86|Probable|WZK13854.1|tpos:1-340	noTP	0.999902	0.000063	0.000035	
antigen_2|P0C0E1|Trigger|WZK13934.1|tpos:1-427	noTP	0.999719	0.000049	0.000232	
antigen_48|P0C0G6|Glyceraldehyde-3-phosphate|WZK13960.1|tpos:1-336	noTP	0.966129	0.006599	0.027271	
antigen_49|Q5XD01|Enolase|WZK12924.1|tpos:1-435	noTP	0.999459	0.000506	0.000034	
antigen_92|Q99Y34|Serine|WZK13931.1|tpos:1-308	noTP	0.692464	0.300233	0.007302	
antigen_94|Q99XV4|Histidine|WZK12570.1|tpos:1-825	SP	0.302480	0.675678	0.021842	CS pos: 22-23. IGS-YQ. Pr: 0.8411
antigen_73|Q9A0L9|Zinc-binding|WZK12911.1|tpos:1-515	SP	0.011890	0.987827	0.000283	CS pos: 23-24. TQA-KQ. Pr: 0.9181
antigen_15|Q9A080|Histidine|WZK13060.1|tpos:1-262	noTP	0.999638	0.000180	0.000181	
antigen_16|Q9A0B0|Fructose-specific|WZK13027.1|tpos:1-648	noTP	0.999676	0.000247	0.000077	
antigen_80|Q9A1U2|Penicillin-binding|WZK12467.1|tpos:1-766	noTP	0.951837	0.040540	0.007623	
antigen_39|B1NWV1|Collagen-like|WZK13445.1|tpos:183-217	SP	0.070341	0.922452	0.007207	CS pos: 29-30. VVS-SK. Pr: 0.3776
antigen_81|Q9A1S3|Signal|WZK12491.1|tpos:55-185	noTP	0.996163	0.000565	0.003272	
antigen_83|Q9A0D7|Capsule|WZK12998.1|tpos:1-430	noTP	0.993718	0.004079	0.002203	
antigen_104|Q99ZD1|Pyruvate|WZK13328.1|tpos:1-500	noTP	0.996703	0.001963	0.001335	
antigen_13|Q99ZH4|Lipoprotein|WZK13285.1|tpos:1-350	SP	0.003837	0.988425	0.007738	CS pos: 21-22. AAC-GN. Pr: 0.5823
antigen_14|Q99ZW2|CRISPR-associated|WZK13124.1|tpos:1-1368	noTP	0.999972	0.000009	0.000019	
antigen_17|Q9A0Z2|DUF2326|WZK12827.1|tpos:1-281	noTP	0.999985	0.000014	0.000002	
antigen_100|P69952|Elongation|WZK12877.1|tpos:1-398	noTP	0.999898	0.000006	0.000096	
antigen_76|P0C0J1|Streptopain|WZK14021.1|tpos:1-398	SP	0.003780	0.995690	0.000529	CS pos: 22-23. VLA-NP. Pr: 0.4900
antigen_78|Q9A203|Cell|WZK12398.1|tpos:1-123	noTP	0.994074	0.000641	0.005285	
antigen_79|Q9A1X8|Acyltransferase|WZK12427.1|tpos:1-591	noTP	0.995908	0.003853	0.000239	
antigen_31|P0DD26|Probable|WZK14043.1|tpos:1-498	SP	0.037227	0.960573	0.002200	CS pos: 25-26. SYA-CT. Pr: 0.7479
antigen_32|A0A0H2UTN5|Nicotine|WZK12523.1|tpos:1-451	noTP	0.536235	0.122902	0.340862	
antigen_111|P69883|Chaperonin|WZK14045.1|tpos:1-543	noTP	0.999618	0.000222	0.000161	
antigen_1|P0C0E0|DNA-directed|WZK12469.1|tpos:1-1213	noTP	0.931532	0.001853	0.066615	
antigen_53|Q9A1S2|Pilin|WZK12492.1|tpos:1-340	SP	0.001187	0.996523	0.002290	CS pos: 23-24. VHG-ET. Pr: 0.8553
antigen_70|Q99Y38|Acid|WZK13923.1|tpos:1-284	SP	0.032888	0.965841	0.001271	CS pos: 23-24. GCA-KV. Pr: 0.4396
antigen_74|Q99ZW9|YbbR-like|WZK13117.1|tpos:1-318	SP	0.076639	0.917442	0.005918	CS pos: 29-30. ASS-NH. Pr: 0.5650
antigen_84|Q9A0C5|RND|WZK13010.1|tpos:1-423	noTP	0.974346	0.022303	0.003351	
antigen_85|Q99ZN4|Sortase|WZK13221.1|tpos:1-249	noTP	0.931455	0.042438	0.026107	
antigen_86|Q99ZA4|ABC|WZK13415.1|tpos:1-724	SP	0.001311	0.998666	0.000024	CS pos: 24-25. ASA-ET. Pr: 0.8436
antigen_57|Q9A0A2|Secreted|WZK13038.1|tpos:1-670	SP	0.017697	0.982145	0.000157	CS pos: 27-28. VQA-DQ. Pr: 0.9555
antigen_58|Q99XX8|pullulanase|WZK12597.1|tpos:1-1165	noTP	0.824212	0.122836	0.052952	
antigen_3|P0C0E3|Lantibiotic|WZK13158.1|tpos:1-229	noTP	0.816423	0.000212	0.183366	
antigen_5|Q7DAL7|Protein|WZK13445.1|tpos:1-217	SP	0.330119	0.658272	0.011609	CS pos: 33-34. VSA-VD. Pr: 0.6923
antigen_6|Q99XU9|M|WZK14008.1|tpos:1-529	noTP	0.995791	0.000578	0.003630	
antigen_88|P0C0D0|Ornithine|WZK13607.1|tpos:1-337	noTP	0.999585	0.000170	0.000245	
antigen_90|Q99YI6|PepSY|WZK13711.1|tpos:1-114	SP	0.000232	0.999762	0.000006	CS pos: 22-23. AAC-DM. Pr: 0.8968
antigen_95|Q99XU2|ATP-binding|WZK14015.1|tpos:1-422	noTP	0.602367	0.309520	0.088113	
antigen_96|Q99XU1|ABC|WZK14016.1|tpos:1-94	SP	0.024707	0.973886	0.001407	CS pos: 24-25. ACG-TK. Pr: 0.2915
antigen_97|Q99XS2|TcaA|WZK14042.1|tpos:1-546	noTP	0.908065	0.081891	0.010044	
