# TargetP-2.0	Organism: Non-Plant	Timestamp: 20250922143226
# ID	Prediction	noTP	SP	mTP	CS Position
antigen_111|B2UW06|6,7-dimethyl-8-ribityllumazine|CP094167.1|tpos:463176-463331	noTP	0.994420	0.000877	0.004703	
antigen_136|Q1CV84|Urease|CP094167.1|tpos:436002-436171	noTP	0.998952	0.000100	0.000948	
antigen_128|O25703|Ribosomal|CP094167.1|tpos:339239-339416	noTP	0.998644	0.000384	0.000972	
antigen_144|Q1CU35|UDP-N-acetylmuramoylalanine--D-glutamate|CP094167.1|tpos:265786-266048	noTP	0.943845	0.035065	0.021091	
antigen_10|Q9ZJX4|Tryptophan--tRNA|CP094167.1|tpos:217919-218048	noTP	0.999733	0.000055	0.000212	
antigen_88|B6JMX4|ATP|CP094167.1|tpos:35662-36056	noTP	0.997713	0.000603	0.001684	
antigen_70|B2UUV8|Small|CP094167.1|tpos:91644-91778	noTP	0.990862	0.000007	0.009131	
antigen_122|P56141|Tryptophan|CP094167.1|tpos:64696-64957	noTP	0.999731	0.000137	0.000132	
antigen_2|O25971|Uncharacterized|CP094167.1|tpos:33258-33584	noTP	0.999843	0.000095	0.000062	
antigen_94|O25595|Alanine|CP094167.1|tpos:163269-163645	noTP	0.804211	0.000744	0.195045	
antigen_173|P56120|Ribonuclease|CP094167.1|tpos:243216-243357	noTP	0.999717	0.000061	0.000222	
antigen_183|B6JNE5|Large|CP094167.1|tpos:58470-58650	noTP	0.993754	0.000180	0.006066	
antigen_145|B6JNX2|Thymidylate|CP094167.1|tpos:18015-18205	noTP	0.999676	0.000042	0.000282	
antigen_146|B6JM61|Glutamyl-tRNA(Gln)|CP094167.1|tpos:200127-200576	noTP	0.997138	0.002728	0.000134	
antigen_163|Q9ZL09|GTPase|CP094167.1|tpos:286157-286206	noTP	0.728578	0.191881	0.079541	
antigen_72|Q9ZJ57|Transcription-repair-coupling|CP094167.1|tpos:134977-135199	noTP	0.999140	0.000090	0.000771	
antigen_20|Q1CUI3|Arginine--tRNA|CP094167.1|tpos:358198-358738	noTP	0.999727	0.000200	0.000074	
antigen_103|B2UV70|Large|CP094167.1|tpos:58470-58650	noTP	0.993754	0.000180	0.006066	
