accession,label,feature,subfeature,value
Q83A52,positive,allergenicity,merci_score,0.5
Q83A52,positive,allergenicity,blast_score,-0.5
Q83A52,positive,allergenicity,hybrid_score,0.048
Q83EX8,positive,allergenicity,merci_score,0.0
Q83EX8,positive,allergenicity,blast_score,-0.5
Q83EX8,positive,allergenicity,hybrid_score,-0.381
Q83CG9,positive,allergenicity,merci_score,0.0
Q83CG9,positive,allergenicity,blast_score,-0.5
Q83CG9,positive,allergenicity,hybrid_score,-0.469
Q83B22,positive,allergenicity,merci_score,0.0
Q83B22,positive,allergenicity,blast_score,-0.5
Q83B22,positive,allergenicity,hybrid_score,-0.437
Q83DG0,positive,allergenicity,merci_score,0.5
Q83DG0,positive,allergenicity,blast_score,-0.5
Q83DG0,positive,allergenicity,hybrid_score,0.033
Q83EF6,positive,allergenicity,merci_score,0.0
Q83EF6,positive,allergenicity,blast_score,-0.5
Q83EF6,positive,allergenicity,hybrid_score,-0.442
Q83A45,positive,allergenicity,merci_score,0.0
Q83A45,positive,allergenicity,blast_score,0.0
Q83A45,positive,allergenicity,hybrid_score,0.107
Q83DA1,positive,allergenicity,merci_score,0.0
Q83DA1,positive,allergenicity,blast_score,0.0
Q83DA1,positive,allergenicity,hybrid_score,0.01
Q83CP4,positive,allergenicity,merci_score,0.0
Q83CP4,positive,allergenicity,blast_score,0.0
Q83CP4,positive,allergenicity,hybrid_score,0.129
A0A0M4PLT0,positive,allergenicity,merci_score,0.0
A0A0M4PLT0,positive,allergenicity,blast_score,-0.5
A0A0M4PLT0,positive,allergenicity,hybrid_score,0.015
Q83DH8,positive,allergenicity,merci_score,0.5
Q83DH8,positive,allergenicity,blast_score,-0.5
Q83DH8,positive,allergenicity,hybrid_score,0.096
Q83DG3,positive,allergenicity,merci_score,0.0
Q83DG3,positive,allergenicity,blast_score,0.0
Q83DG3,positive,allergenicity,hybrid_score,0.402
Q83DH7,positive,allergenicity,merci_score,0.5
Q83DH7,positive,allergenicity,blast_score,-0.5
Q83DH7,positive,allergenicity,hybrid_score,0.462
Q93N39,positive,allergenicity,merci_score,0.0
Q93N39,positive,allergenicity,blast_score,-0.5
Q93N39,positive,allergenicity,hybrid_score,-0.389
Q83CL6,positive,allergenicity,merci_score,0.0
Q83CL6,positive,allergenicity,blast_score,0.0
Q83CL6,positive,allergenicity,hybrid_score,0.154
Q83CV0,positive,allergenicity,merci_score,0.0
Q83CV0,positive,allergenicity,blast_score,-0.5
Q83CV0,positive,allergenicity,hybrid_score,-0.397
P59650,positive,allergenicity,merci_score,0.0
P59650,positive,allergenicity,blast_score,-0.5
P59650,positive,allergenicity,hybrid_score,-0.395
Q9ZH99,positive,allergenicity,merci_score,0.5
Q9ZH99,positive,allergenicity,blast_score,0.0
Q9ZH99,positive,allergenicity,hybrid_score,0.917
Q820B6,positive,allergenicity,merci_score,0.0
Q820B6,positive,allergenicity,blast_score,0.0
Q820B6,positive,allergenicity,hybrid_score,0.134
Q83AI2,positive,allergenicity,merci_score,0.5
Q83AI2,positive,allergenicity,blast_score,-0.5
Q83AI2,positive,allergenicity,hybrid_score,0.039
Q83AL4,positive,allergenicity,merci_score,0.0
Q83AL4,positive,allergenicity,blast_score,0.0
Q83AL4,positive,allergenicity,hybrid_score,0.172
Q83BS3,positive,allergenicity,merci_score,0.0
Q83BS3,positive,allergenicity,blast_score,0.0
Q83BS3,positive,allergenicity,hybrid_score,0.058
Q83BT6,positive,allergenicity,merci_score,0.0
Q83BT6,positive,allergenicity,blast_score,-0.5
Q83BT6,positive,allergenicity,hybrid_score,-0.487
Q83AF7,positive,allergenicity,merci_score,0.0
Q83AF7,positive,allergenicity,blast_score,-0.5
Q83AF7,positive,allergenicity,hybrid_score,-0.451
Q83BU7,positive,allergenicity,merci_score,0.0
Q83BU7,positive,allergenicity,blast_score,-0.5
Q83BU7,positive,allergenicity,hybrid_score,-0.396
