antigen95|Q7A7B2|CP000253.1|mhcii|seq4639	antigen95|Q7A7B2|CP000253.1|mhcii|seq4639
antigen95|Q7A7B2|CP000253.1|mhcii|seq5119	antigen95|Q7A7B2|CP000253.1|mhcii|seq5119
antigen95|Q7A7B2|CP000253.1|mhcii|seq5215	antigen95|Q7A7B2|CP000253.1|mhcii|seq5215
antigen95|Q7A7B2|CP000253.1|mhcii|seq5215	antigen95|Q7A7B2|CP000253.1|mhcii|seq218
antigen95|Q7A7B2|CP000253.1|mhcii|seq5215	antigen95|Q7A7B2|CP000253.1|mhcii|seq5217
antigen95|Q7A7B2|CP000253.1|mhcii|seq5215	antigen95|Q7A7B2|CP000253.1|mhcii|seq220
antigen95|Q7A7B2|CP000253.1|mhcii|seq5215	antigen95|Q7A7B2|CP000253.1|mhcii|seq5218
antigen95|Q7A7B2|CP000253.1|mhcii|seq5215	antigen95|Q7A7B2|CP000253.1|mhcii|seq221
antigen95|Q7A7B2|CP000253.1|mhcii|seq5215	antigen95|Q7A7B2|CP000253.1|mhcii|seq15383
antigen95|Q7A7B2|CP000253.1|mhcii|seq5215	antigen95|Q7A7B2|CP000253.1|mhcii|seq4793
antigen95|Q7A7B2|CP000253.1|mhcii|seq5215	antigen95|Q7A7B2|CP000253.1|mhcii|seq4794
antigen95|Q7A7B2|CP000253.1|mhcii|seq5215	antigen95|Q7A7B2|CP000253.1|mhcii|seq4795
antigen95|Q7A7B2|CP000253.1|mhcii|seq5215	antigen95|Q7A7B2|CP000253.1|mhcii|seq4796
antigen95|Q7A7B2|CP000253.1|mhcii|seq5215	antigen95|Q7A7B2|CP000253.1|mhcii|seq5212
antigen95|Q7A7B2|CP000253.1|mhcii|seq5215	antigen95|Q7A7B2|CP000253.1|mhcii|seq215
antigen95|Q7A7B2|CP000253.1|mhcii|seq5215	antigen95|Q7A7B2|CP000253.1|mhcii|seq4797
antigen95|Q7A7B2|CP000253.1|mhcii|seq5215	antigen95|Q7A7B2|CP000253.1|mhcii|seq5213
antigen95|Q7A7B2|CP000253.1|mhcii|seq5215	antigen95|Q7A7B2|CP000253.1|mhcii|seq216
antigen95|Q7A7B2|CP000253.1|mhcii|seq5215	antigen95|Q7A7B2|CP000253.1|mhcii|seq5214
antigen95|Q7A7B2|CP000253.1|mhcii|seq5215	antigen95|Q7A7B2|CP000253.1|mhcii|seq217
antigen95|Q7A7B2|CP000253.1|mhcii|seq5215	antigen95|Q7A7B2|CP000253.1|mhcii|seq5216
