Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_4|O84145|Uncharacterized|CP042795.1|tpos:158247-158526,0.39,0.0,0.0,0.39,Allergen
antigen_0|O84025|Large|CP042795.1|tpos:116448-116555,0.272,0.0,0.0,0.272,Non-Allergen
antigen_34|O84818|Probable|CP042795.1|tpos:104488-105306,0.688,0.0,-0.5,0.188,Non-Allergen
antigen_61|A1X1L1|PmpF|CP042795.1|tpos:105522-106290,0.542,0.5,-0.5,0.542,Allergen
antigen_15|O84462|Translocated|CP042795.1|tpos:274428-275432,0.121,0.0,-0.5,-0.379,Non-Allergen
antigen_102|O84412|DnaK|CP042795.1|tpos:253836-253959,0.152,0.0,-0.5,-0.348,Non-Allergen
antigen_101|B0B7W6|Chaperone|CP042795.1|tpos:249473-250132,0.245,0.0,0.5,0.745,Allergen
antigen_19|O84583|Protein|CP042795.1|tpos:312950-313388,0.192,0.0,0.0,0.192,Non-Allergen
antigen_20|O84591|Enolase|CP042795.1|tpos:316333-316756,0.119,0.0,0.5,0.619,Allergen
antigen_67|A0A0F6PN72|TarP|CP042795.1|tpos:274489-274749,0.331,0.0,-0.5,-0.169,Non-Allergen
antigen_68|O84588|Protein|CP042795.1|tpos:315094-315276,0.113,0.0,0.0,0.113,Non-Allergen
antigen_93|A0A6H2W3T1|Inclusion|CP042795.1|tpos:188444-188558,0.232,0.5,0.0,0.732,Allergen
antigen_95|A0A0H2X273|Negative|CP042795.1|tpos:230828-231029,0.034,0.5,-0.5,0.034,Non-Allergen
antigen_64|O84882|Probable|CP042795.1|tpos:104440-105306,0.66,0.5,-0.5,0.66,Allergen
antigen_62|O84879|Probable|CP042795.1|tpos:104321-105306,0.351,0.5,-0.5,0.351,Allergen
antigen_63|B7SC76|PmpH|CP042795.1|tpos:105316-106295,0.638,0.5,-0.5,0.638,Allergen
antigen_10|O84343|ComEC/Rec2-related|CP042795.1|tpos:228459-228967,0.058,0.5,0.0,0.558,Allergen
antigen_5|O84149|Integral|CP042795.1|tpos:160078-161526,0.019,0.5,0.0,0.519,Allergen
antigen_115|O84678|Uncharacterized|CP042795.1|tpos:14822-15104,0.135,0.0,0.0,0.135,Non-Allergen
antigen_60|A4ZW48|PmpE|CP042795.1|tpos:104498-105270,0.688,0.0,-0.5,0.188,Non-Allergen
antigen_57|O84417|Probable|CP042795.1|tpos:105488-106264,0.654,0.5,-0.5,0.654,Allergen
antigen_39|O84866|Protein|CP042795.1|tpos:96515-97115,0.029,0.0,0.0,0.029,Non-Allergen
antigen_32|O84799|DNA|CP042795.1|tpos:70795-71389,0.019,0.5,-0.5,0.019,Non-Allergen
antigen_8|O84243|Recombination|CP042795.1|tpos:190834-191033,0.153,0.0,0.0,0.153,Non-Allergen
antigen_9|O84288|Probable|CP042795.1|tpos:230828-231029,0.034,0.5,-0.5,0.034,Non-Allergen
antigen_13|O84419|Probable|CP042795.1|tpos:104565-105251,0.592,0.0,-0.5,0.092,Non-Allergen
antigen_29|O84647|Predicted|CP042795.1|tpos:4317-4875,0.034,0.0,0.0,0.034,Non-Allergen
antigen_48|P17821|Chaperone|CP042795.1|tpos:249473-250132,0.245,0.0,0.5,0.745,Allergen
antigen_40|O84883|Uncharacterized|CP042795.1|tpos:107596-108198,0.061,0.0,0.0,0.061,Non-Allergen
antigen_84|O84115|Chaperone|CP042795.1|tpos:230834-230957,0.083,0.0,-0.5,-0.417,Non-Allergen
antigen_58|O84418|Probable|CP042795.1|tpos:104635-105251,0.596,0.0,-0.5,0.096,Non-Allergen
antigen_36|O84848|ATP-dependent|CP042795.1|tpos:90326-91238,0.024,0.0,-0.5,-0.476,Non-Allergen
antigen_118|Q3KKY9|ATP-dependent|CP042795.1|tpos:90787-90857,0.322,0.0,-0.5,-0.178,Non-Allergen
antigen_119|O84739|Probable|CP042795.1|tpos:40043-40263,0.197,0.0,0.0,0.197,Non-Allergen
antigen_99|A0A0H3MH55|Lon|CP042795.1|tpos:230448-231266,0.045,0.5,-0.5,0.045,Non-Allergen
