accession,label,feature,subfeature,value
O84508,random,FUBAR,mean_alpha,4.477431963222096
O84508,random,FUBAR,mean_beta,7.469389161960925
O84508,random,FUBAR,mean_prob_pos,0.4255410262822487
O84508,random,FUBAR,mean_prob_neg,0.5248635805226313
Q3KLN6,random,FUBAR,mean_alpha,4.2206043472068115
Q3KLN6,random,FUBAR,mean_beta,13.372170252295845
Q3KLN6,random,FUBAR,mean_prob_pos,0.3188256870941266
Q3KLN6,random,FUBAR,mean_prob_neg,0.6327939577638415
P0CD72,random,FUBAR,mean_alpha,3.469684910593291
P0CD72,random,FUBAR,mean_beta,8.400552104719525
P0CD72,random,FUBAR,mean_prob_pos,0.38352513409674904
P0CD72,random,FUBAR,mean_prob_neg,0.5670222767486927
O84096,random,FUBAR,mean_alpha,4.515200036460504
O84096,random,FUBAR,mean_beta,11.244622748914935
O84096,random,FUBAR,mean_prob_pos,0.3498205152529322
O84096,random,FUBAR,mean_prob_neg,0.5874097624798243
Q3KLT5,random,FUBAR,mean_alpha,2.990372262881123
Q3KLT5,random,FUBAR,mean_beta,6.787790825480044
Q3KLT5,random,FUBAR,mean_prob_pos,0.28727829461263454
Q3KLT5,random,FUBAR,mean_prob_neg,0.6633099608573833
B0B825,random,FUBAR,mean_alpha,4.173137119280542
B0B825,random,FUBAR,mean_beta,24.345868190251633
B0B825,random,FUBAR,mean_prob_pos,0.10174333954095514
B0B825,random,FUBAR,mean_prob_neg,0.8571695020489795
B0B910,random,FUBAR,mean_alpha,4.2265752546308
B0B910,random,FUBAR,mean_beta,8.88955759647698
B0B910,random,FUBAR,mean_prob_pos,0.3945869401885176
B0B910,random,FUBAR,mean_prob_neg,0.5563096390530611
B0B887,random,FUBAR,mean_alpha,4.758086448915788
B0B887,random,FUBAR,mean_beta,5.811934845336489
B0B887,random,FUBAR,mean_prob_pos,0.457058604477014
B0B887,random,FUBAR,mean_prob_neg,0.4926850233273989
Q3KN20,random,FUBAR,mean_alpha,0
Q3KN20,random,FUBAR,mean_beta,0
Q3KN20,random,FUBAR,mean_prob_pos,0
Q3KN20,random,FUBAR,mean_prob_neg,0
B0B8V8,random,FUBAR,mean_alpha,0
B0B8V8,random,FUBAR,mean_beta,0
B0B8V8,random,FUBAR,mean_prob_pos,0
B0B8V8,random,FUBAR,mean_prob_neg,0
O84836,random,FUBAR,mean_alpha,5.2185444660341185
O84836,random,FUBAR,mean_beta,5.3006836525829275
O84836,random,FUBAR,mean_prob_pos,0.47385367791760136
O84836,random,FUBAR,mean_prob_neg,0.47610983991762384
O84222,random,FUBAR,mean_alpha,3.908540861323827
O84222,random,FUBAR,mean_beta,6.6387192037723395
O84222,random,FUBAR,mean_prob_pos,0.4277099244325655
O84222,random,FUBAR,mean_prob_neg,0.5219454094563579
B0B7U3,random,FUBAR,mean_alpha,3.615798319829238
B0B7U3,random,FUBAR,mean_beta,8.007091179779241
B0B7U3,random,FUBAR,mean_prob_pos,0.39562501018152385
B0B7U3,random,FUBAR,mean_prob_neg,0.5547727569142342
Q3KM39,random,FUBAR,mean_alpha,4.632280485596335
Q3KM39,random,FUBAR,mean_beta,6.991742377325308
Q3KM39,random,FUBAR,mean_prob_pos,0.43573035486098205
Q3KM39,random,FUBAR,mean_prob_neg,0.5141056998430314
O84719,random,FUBAR,mean_alpha,4.275760910622065
O84719,random,FUBAR,mean_beta,25.735133222660362
O84719,random,FUBAR,mean_prob_pos,0.095907793868908
O84719,random,FUBAR,mean_prob_neg,0.8628582652636236
B0B9C6,random,FUBAR,mean_alpha,3.7043893551390426
B0B9C6,random,FUBAR,mean_beta,21.22303268152802
B0B9C6,random,FUBAR,mean_prob_pos,0.11617565076427824
B0B9C6,random,FUBAR,mean_prob_neg,0.8428969563992095
Q3KM44,random,FUBAR,mean_alpha,4.018296840708777
Q3KM44,random,FUBAR,mean_beta,12.060536204134973
Q3KM44,random,FUBAR,mean_prob_pos,0.32061991203432855
Q3KM44,random,FUBAR,mean_prob_neg,0.6312080911491966
