Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_31|Q8YD64||WP_004684798.1|tpos:1-324,0.041,0.0,-0.5,-0.459,Non-Allergen
antigen_32|Q8YDF1||WP_004686119.1|tpos:2-435,0.005,0.0,0.5,0.505,Allergen
antigen_99|A0AB36PYP7|LPS-assembly|WP_002964883.1|tpos:1-193,0.088,0.0,0.0,0.088,Non-Allergen
antigen_100|Q8YJL3||WP_004686237.1|tpos:32-231,0.225,0.0,0.0,0.225,Non-Allergen
antigen_103|A0A1S6ZGC7||WP_004686442.1|tpos:100-212,0.155,0.0,0.0,0.155,Non-Allergen
antigen_105|Q8YGR4||WP_004684153.1|tpos:134-311,0.156,0.0,-0.5,-0.344,Non-Allergen
antigen_37|Q8YDL6|Flagellar|WP_002966644.1|tpos:1-396,0.325,0.0,-0.5,-0.175,Non-Allergen
antigen_121|Q8YB97||WP_004686151.1|tpos:1-422,0.017,0.5,0.0,0.517,Allergen
antigen_1|F8WJX4||WP_006135455.1|tpos:1-453,0.052,0.5,-0.5,0.052,Non-Allergen
antigen_50|Q8YEI8||WP_002965301.1|tpos:13-334,0.674,0.0,0.0,0.674,Allergen
antigen_53|Q8YFK3|Pyridoxine/pyridoxamine|WP_002971565.1|tpos:1-203,0.137,0.0,0.0,0.137,Non-Allergen
antigen_72|Q8YH80||WP_004690850.1|tpos:1-300,0.009,0.0,-0.5,-0.491,Non-Allergen
antigen_90|Q8YIS5|DUF883|WP_002964756.1|tpos:1-117,0.271,0.0,0.0,0.271,Non-Allergen
antigen_95|Q8YJQ8||WP_004685173.1|tpos:17-487,0.088,0.0,0.5,0.588,Allergen
antigen_81|Q8YHR8|Single-stranded-DNA-specific|WP_004683938.1|tpos:1-594,0.02,0.0,-0.5,-0.48,Non-Allergen
antigen_131|A0AB36Q019|catalase|WP_002966234.1|tpos:1-499,0.129,0.5,0.5,1.129,Allergen
antigen_128|Q8YC30||WP_004686075.1|tpos:1-355,0.687,0.5,0.0,1.187,Allergen
antigen_130|P0A468|Large|WP_002964371.1|tpos:1-124,0.539,0.0,-0.5,0.039,Non-Allergen
antigen_91|Q8YIW5||WP_002964802.1|tpos:1-343,0.075,0.0,-0.5,-0.425,Non-Allergen
