# TargetP-2.0	Organism: Non-Plant	Timestamp: 20251014205716
# ID	Prediction	noTP	SP	mTP	CS Position
antigen_106|Q9HT18|ATP|WP_003097134.1|tpos:1-514	noTP	0.999608	0.000334	0.000058	
antigen_156|O87005|Chemotactic|WP_003084610.1|tpos:1-203	noTP	0.842396	0.153010	0.004593	
antigen_186|Q9I0I6|Methyl-accepting|WP_078451800.1|tpos:1-561	noTP	0.548338	0.443095	0.008567	
antigen_18|Q01269|Cyclohexadienyl|WP_003092003.1|tpos:1-268	SP	0.006560	0.992651	0.000789	CS pos: 25-26. LQA-QE. Pr: 0.5910
antigen_19|A6V8R6|Ribonuclease|WP_003086813.1|tpos:1-374	noTP	0.999894	0.000095	0.000012	
antigen_81|Q9I5U5|Ribosomal|WP_003099569.1|tpos:1-268	noTP	0.994397	0.000091	0.005512	
antigen_82|Q9I0J1|NADH-quinone|WP_023095470.1|tpos:1-615	noTP	0.954704	0.044688	0.000608	
antigen_117|Q9HX20|Gamma-glutamyl|WP_003132497.1|tpos:1-421	noTP	0.990676	0.001042	0.008282	
antigen_118|Q9HU18|C4-dicarboxylate-binding|WP_003105525.1|tpos:1-331	SP	0.008022	0.986810	0.005168	CS pos: 23-24. VQA-AD. Pr: 0.9111
antigen_164|Q9HT13|ATP|WP_003097239.1|tpos:1-126	noTP	0.956846	0.035490	0.007664	
antigen_197|Q01709|Regulatory|WP_023095315.1|tpos:618-712	SP	0.061497	0.938290	0.000213	CS pos: 17-18. AKA-RL. Pr: 0.9540
antigen_4|Q51371|Mannuronan|WP_003110465.1|tpos:1-543	SP	0.048100	0.935055	0.016846	CS pos: 35-36. AWA-AQ. Pr: 0.8862
antigen_104|P10932|Aliphatic|WP_015502569.1|tpos:1-196	noTP	0.997727	0.000292	0.001982	
antigen_105|Q9HY69|Mannuronan|WP_003092101.1|tpos:1-389	noTP	0.996034	0.000819	0.003147	
antigen_91|B7V3C7|Uroporphyrinogen|WP_021263521.1|tpos:1-355	noTP	0.951317	0.000894	0.047789	
antigen_179|Q9HZN8|Thymidylate|WP_003122486.1|tpos:1-210	noTP	0.999938	0.000039	0.000022	
antigen_181|B7V5B5|UPF0149|WP_003099193.1|tpos:1-184	noTP	0.964190	0.030657	0.005153	
antigen_182|B7V7U2|UDP-3-O-acylglucosamine|WP_003098585.1|tpos:1-353	noTP	0.664439	0.295627	0.039934	
antigen_183|B7UVI9|Nucleoid-associated|WP_003087236.1|tpos:1-108	noTP	0.997276	0.000490	0.002235	
antigen_40|Q9I4L6|Outer-membrane|WP_003133895.1|tpos:1-168	SP	0.002738	0.996658	0.000604	CS pos: 26-27. AGC-QT. Pr: 0.6397
antigen_172|A6V1P1|Undecaprenyl-phosphate|WP_003112880.1|tpos:1-339	noTP	0.999571	0.000413	0.000016	
antigen_174|A6VD32|NH(3)-dependent|WP_003109458.1|tpos:1-275	noTP	0.998920	0.000280	0.000800	
antigen_171|Q02T64|Large|WP_003093698.1|tpos:1-116	noTP	0.994689	0.000229	0.005082	
antigen_1|O52760|DNA-directed|WP_003093675.1|tpos:1-333	noTP	0.999435	0.000109	0.000456	
antigen_70|A6VED8|Orotate|WP_003096586.1|tpos:1-213	noTP	0.929743	0.000390	0.069867	
