Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen45|Q6GJE0|CP002114.3|mhcii|seq1,0.38,0,0,0.38,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq2,0.336,0,0,0.336,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq3,0.333,0,0,0.333,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq4,0.359,0,0,0.359,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq5,0.365,0,0,0.365,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq6,0.378,0,0,0.378,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq7,0.382,0,0,0.382,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq8,0.335,0,0,0.335,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq9,0.349,0,0,0.349,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq10,0.357,0,0,0.357,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq11,0.354,0,0,0.354,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq12,0.381,0,0,0.381,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq13,0.392,0,0,0.392,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq14,0.388,0,0,0.388,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq15,0.37,0,0,0.37,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq16,0.349,0,0,0.349,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq17,0.339,0,0,0.339,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq18,0.327,0,0,0.327,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq19,0.347,0,0,0.347,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq20,0.345,0,0,0.345,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq21,0.348,0,0,0.348,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq22,0.336,0,0,0.336,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq23,0.309,0,0,0.309,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq24,0.311,0,0,0.311,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq25,0.316,0,0,0.316,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq26,0.33,0,0,0.33,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq27,0.343,0,0,0.343,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq28,0.352,0,0,0.352,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq29,0.35,0,0,0.35,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq30,0.342,0,0,0.342,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq34,0.321,0,0,0.321,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq46,0.319,0,0,0.319,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq47,0.317,0,0,0.317,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq48,0.337,0,0,0.337,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq49,0.348,0,0,0.348,Allergen
antigen45|Q6GJE0|CP002114.3|mhcii|seq50,0.351,0,0,0.351,Allergen
