# TargetP-2.0	Organism: Non-Plant	Timestamp: 20250821202408
# ID	Prediction	noTP	SP	mTP	CS Position
antigen_18|Q1J8A8|Segregation|NZ_CP060645.1|tpos:115608-115790	noTP	0.987190	0.005846	0.006964	
antigen_19|B5XKU0|Large|NZ_CP060645.1|tpos:217867-217985	noTP	0.991152	0.000049	0.008799	
antigen_185|Q1J708|tRNA|NZ_CP060645.1|tpos:249509-249807	noTP	0.996181	0.001468	0.002351	
antigen_56|Q99YG1|Translation|NZ_CP060645.1|tpos:264690-264933	noTP	0.999812	0.000009	0.000179	
antigen_163|Q1JHA5|Uracil-DNA|NZ_CP060645.1|tpos:244896-245112	noTP	0.999856	0.000077	0.000067	
antigen_176|P0C0H6|Inosine-5'-monophosphate|NZ_CP060645.1|tpos:287051-287271	noTP	0.997305	0.002491	0.000204	
antigen_165|Q8P0G7|UDP-N-acetylglucosamine|NZ_CP060645.1|tpos:205120-205535	noTP	0.996934	0.002814	0.000253	
antigen_173|Q48UD0|UDP-N-acetylglucosamine|NZ_CP060645.1|tpos:205118-205540	noTP	0.999676	0.000303	0.000021	
antigen_22|Q8P1C8|Probable|NZ_CP060645.1|tpos:110045-110174	noTP	0.969372	0.003057	0.027571	
antigen_23|Q5XCA4|Spermidine/putrescine|NZ_CP060645.1|tpos:105081-105347	noTP	0.999971	0.000017	0.000013	
antigen_120|P0DE54|Large|NZ_CP060645.1|tpos:31226-31432	noTP	0.999978	0.000007	0.000014	
antigen_2|Q1J6Q6|Spermidine/putrescine|NZ_CP060645.1|tpos:105081-105347	noTP	0.999971	0.000017	0.000013	
antigen_5|Q5XD71|HPr|NZ_CP060645.1|tpos:170751-171060	noTP	0.999639	0.000175	0.000186	
antigen_195|P0DE64|Small|NZ_CP060645.1|tpos:34805-34931	noTP	0.997732	0.000014	0.002255	
antigen_196|Q1JN21|GTPase|NZ_CP060645.1|tpos:109879-110036	noTP	0.987489	0.005215	0.007296	
antigen_197|Q99ZV8|Elongation|NZ_CP060645.1|tpos:264693-265302	noTP	0.999812	0.000011	0.000178	
antigen_167|P60420|UPF0298|NZ_CP060645.1|tpos:121518-121608	noTP	0.975401	0.001125	0.023474	
antigen_71|B5XM46|S-adenosylmethionine:tRNA|NZ_CP060645.1|tpos:363806-364147	noTP	0.999982	0.000009	0.000009	
antigen_15|Q1J8Y8|Small|NZ_CP060645.1|tpos:34805-34931	noTP	0.997732	0.000014	0.002255	
antigen_16|Q48RU8|Translation|NZ_CP060645.1|tpos:264690-264933	noTP	0.999812	0.000009	0.000179	
antigen_156|Q48UB8|ATP-dependent|NZ_CP060645.1|tpos:209178-210399	noTP	0.998860	0.000758	0.000383	
antigen_80|Q1JE33|DNA-directed|NZ_CP060645.1|tpos:34946-35257	noTP	0.999902	0.000059	0.000039	
antigen_188|Q5XAY0|Arginine|NZ_CP060645.1|tpos:400018-400174	noTP	0.998327	0.000183	0.001490	
antigen_99|A2RF70|Large|NZ_CP060645.1|tpos:222296-222399	noTP	0.999822	0.000018	0.000159	
antigen_70|P63548|Adenine|NZ_CP060645.1|tpos:251684-251855	noTP	0.999677	0.000198	0.000125	
antigen_174|P0DF23|Ribonuclease|NZ_CP060645.1|tpos:250430-250738	noTP	0.999316	0.000323	0.000361	
antigen_149|P66021|Peptide|NZ_CP060645.1|tpos:91551-92015	noTP	0.998887	0.000149	0.000964	
antigen_11|P0DG21|tRNA|NZ_CP060645.1|tpos:229843-230085	noTP	0.995953	0.003927	0.000120	
antigen_175|Q48VD6|Putative|NZ_CP060645.1|tpos:85180-85413	noTP	0.999493	0.000454	0.000054	
antigen_181|P65245|Ribose-phosphate|NZ_CP060645.1|tpos:8223-8542	noTP	0.999443	0.000124	0.000434	
antigen_83|P0DA37|ATP-dependent|NZ_CP060645.1|tpos:388820-389153	noTP	0.999863	0.000108	0.000030	
antigen_182|P0CZ88|Glutamate|NZ_CP060645.1|tpos:114313-114576	noTP	0.999405	0.000470	0.000124	
antigen_72|P95827|Macrolide|NZ_CP060645.1|tpos:162212-162570	noTP	0.956405	0.042332	0.001262	
antigen_61|P0C0I6|Exotoxin|NZ_CP060645.1|tpos:372990-373161	noTP	0.999938	0.000052	0.000010	
antigen_38|A2RD12|Galactose-6-phosphate|NZ_CP060645.1|tpos:183390-183495	noTP	0.995773	0.003997	0.000231	
antigen_102|Q48V44|Segregation|NZ_CP060645.1|tpos:115608-115790	noTP	0.987190	0.005846	0.006964	
antigen_104|A2RFS6|HPr|NZ_CP060645.1|tpos:170751-171060	noTP	0.999639	0.000175	0.000186	
antigen_170|B5XL39|Adenine|NZ_CP060645.1|tpos:251684-251855	noTP	0.999677	0.000198	0.000125	
antigen_31|P0DC23|Elongation|NZ_CP060645.1|tpos:264693-265302	noTP	0.999812	0.000011	0.000178	
antigen_49|Q1J777|tRNA|NZ_CP060645.1|tpos:229843-230081	noTP	0.995953	0.003927	0.000120	
antigen_50|Q48TU0|Elongation|NZ_CP060645.1|tpos:264693-265302	noTP	0.999812	0.000011	0.000178	
antigen_33|P65522|Putative|NZ_CP060645.1|tpos:85180-85413	noTP	0.999493	0.000454	0.000054	
antigen_131|A2RCI0|Small|NZ_CP060645.1|tpos:91133-91269	noTP	0.995649	0.000016	0.004335	
antigen_132|P66852|Single-stranded|NZ_CP060645.1|tpos:50588-50695	noTP	0.674501	0.002808	0.322691	
antigen_94|Q1JID3|UPF0298|NZ_CP060645.1|tpos:121518-121608	noTP	0.975401	0.001125	0.023474	
antigen_96|Q5XCB7|tRNA|NZ_CP060645.1|tpos:110051-110219	noTP	0.919225	0.012324	0.068451	
antigen_75|P0DE67|Small|NZ_CP060645.1|tpos:91133-91269	noTP	0.995649	0.000016	0.004335	
