accession,label,feature,subfeature,value
B0B999,random,discotope,mean_discotope_score,0.37925473684210526
B0B999,random,discotope,median_discotope_score,0.36377
B0B999,random,discotope,max_discotope_score,0.52308
B0B999,random,discotope,min_discotope_score,0.29932
B0B999,random,discotope,mean_calibrated_score,1.455738245614035
B0B999,random,discotope,median_calibrated_score,1.3482
B0B999,random,discotope,max_calibrated_score,2.45457
B0B999,random,discotope,min_calibrated_score,0.90061
B0B999,random,discotope,mean_rsa,0.5496929824561404
B0B999,random,discotope,median_rsa,0.54843
B0B999,random,discotope,max_rsa,1.02374
B0B999,random,discotope,min_rsa,0.17273
B0B999,random,discotope,num_epitope_peptides,57
O84589,random,discotope,mean_discotope_score,0.3019512142857143
O84589,random,discotope,median_discotope_score,0.276065
O84589,random,discotope,max_discotope_score,0.5756
O84589,random,discotope,min_discotope_score,0.21998
O84589,random,discotope,mean_calibrated_score,1.6476697857142857
O84589,random,discotope,median_calibrated_score,1.3909500000000001
O84589,random,discotope,max_calibrated_score,4.11792
O84589,random,discotope,min_calibrated_score,0.90117
O84589,random,discotope,mean_rsa,0.5267695714285714
O84589,random,discotope,median_rsa,0.553945
O84589,random,discotope,max_rsa,0.89196
O84589,random,discotope,min_rsa,0.09179
O84589,random,discotope,num_epitope_peptides,140
Q3KKG9,random,discotope,mean_discotope_score,0.37925473684210526
Q3KKG9,random,discotope,median_discotope_score,0.36377
Q3KKG9,random,discotope,max_discotope_score,0.52308
Q3KKG9,random,discotope,min_discotope_score,0.29932
Q3KKG9,random,discotope,mean_calibrated_score,1.455738245614035
Q3KKG9,random,discotope,median_calibrated_score,1.3482
Q3KKG9,random,discotope,max_calibrated_score,2.45457
Q3KKG9,random,discotope,min_calibrated_score,0.90061
Q3KKG9,random,discotope,mean_rsa,0.5496929824561404
Q3KKG9,random,discotope,median_rsa,0.54843
Q3KKG9,random,discotope,max_rsa,1.02374
Q3KKG9,random,discotope,min_rsa,0.17273
Q3KKG9,random,discotope,num_epitope_peptides,57
Q3KKR1,random,discotope,mean_discotope_score,0.19394883720930234
Q3KKR1,random,discotope,median_discotope_score,0.18083
Q3KKR1,random,discotope,max_discotope_score,0.4199
Q3KKR1,random,discotope,min_discotope_score,0.14371
Q3KKR1,random,discotope,mean_calibrated_score,1.5650028837209302
Q3KKR1,random,discotope,median_calibrated_score,1.39603
Q3KKR1,random,discotope,max_calibrated_score,4.5549
Q3KKR1,random,discotope,min_calibrated_score,0.90078
Q3KKR1,random,discotope,mean_rsa,0.5966148372093023
Q3KKR1,random,discotope,median_rsa,0.59588
Q3KKR1,random,discotope,max_rsa,1.06452
Q3KKR1,random,discotope,min_rsa,0.15818
Q3KKR1,random,discotope,num_epitope_peptides,215
P0CD72,random,discotope,mean_discotope_score,0.205853125
P0CD72,random,discotope,median_discotope_score,0.193225
P0CD72,random,discotope,max_discotope_score,0.34732
P0CD72,random,discotope,min_discotope_score,0.14357
P0CD72,random,discotope,mean_calibrated_score,1.804620875
P0CD72,random,discotope,median_calibrated_score,1.6314600000000001
P0CD72,random,discotope,max_calibrated_score,3.74448
P0CD72,random,discotope,min_calibrated_score,0.95057
P0CD72,random,discotope,mean_rsa,0.574993625
P0CD72,random,discotope,median_rsa,0.55176
P0CD72,random,discotope,max_rsa,0.97001
P0CD72,random,discotope,min_rsa,0.17422
P0CD72,random,discotope,num_epitope_peptides,80
O84222,random,discotope,mean_discotope_score,0.43402071090047395
O84222,random,discotope,median_discotope_score,0.418975
O84222,random,discotope,max_discotope_score,0.67605
O84222,random,discotope,min_discotope_score,0.34397
O84222,random,discotope,mean_calibrated_score,1.45967
O84222,random,discotope,median_calibrated_score,1.36158
O84222,random,discotope,max_calibrated_score,3.04921
O84222,random,discotope,min_calibrated_score,0.90005
O84222,random,discotope,mean_rsa,0.5998072511848341
O84222,random,discotope,median_rsa,0.62286
O84222,random,discotope,max_rsa,0.96092
O84222,random,discotope,min_rsa,0.13567
O84222,random,discotope,num_epitope_peptides,422
O84172,random,discotope,mean_discotope_score,0.3037739285714286
O84172,random,discotope,median_discotope_score,0.29593
O84172,random,discotope,max_discotope_score,0.49901
O84172,random,discotope,min_discotope_score,0.19238
O84172,random,discotope,mean_calibrated_score,1.5526493749999999
O84172,random,discotope,median_calibrated_score,1.4438900000000001
O84172,random,discotope,max_calibrated_score,3.14781
O84172,random,discotope,min_calibrated_score,0.90372
O84172,random,discotope,mean_rsa,0.5637345535714285
O84172,random,discotope,median_rsa,0.55123
O84172,random,discotope,max_rsa,0.94819
O84172,random,discotope,min_rsa,0.15792
O84172,random,discotope,num_epitope_peptides,112
C4PQQ9,random,discotope,mean_discotope_score,0.37925473684210526
C4PQQ9,random,discotope,median_discotope_score,0.36377
C4PQQ9,random,discotope,max_discotope_score,0.52308
