Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen49|Q2G1F5|CP000253.1|mhci|seq1,0.374,0.0,0,0.374,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq2,0.363,0.0,0,0.363,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq3,0.365,0.0,0,0.365,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq4,0.367,0.0,0,0.367,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq5,0.365,0.0,0,0.365,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq6,0.374,0.0,0,0.374,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq7,0.419,0.0,0,0.419,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq8,0.37,0.0,0,0.37,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq9,0.449,0.0,0,0.449,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq10,0.489,0.0,0,0.489,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq11,0.382,0.0,0,0.382,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq12,0.419,0.0,0,0.419,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq13,0.327,0.0,0,0.327,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq14,0.325,0.0,0,0.325,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq15,0.323,0.0,0,0.323,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq16,0.318,0.0,0,0.318,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq17,0.302,0.0,0,0.302,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq19,0.34,0.0,0,0.34,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq20,0.387,0.0,0,0.387,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq21,0.312,0.0,0,0.312,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq22,0.328,0.0,0,0.328,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq23,0.351,0.0,0,0.351,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq24,0.369,0.0,0,0.369,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq25,0.345,0.0,0,0.345,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq26,0.35,0.0,0,0.35,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq27,0.353,0.0,0,0.353,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq28,0.363,0.0,0,0.363,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq29,0.4,0.0,0,0.4,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq30,0.379,0.0,0,0.379,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq31,0.381,0.0,0,0.381,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq32,0.345,0.0,0,0.345,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq33,0.307,0.0,0,0.307,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq34,0.306,0.0,0,0.306,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq41,0.422,0.0,0,0.422,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq42,0.353,0.0,0,0.353,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq43,0.348,0.0,0,0.348,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq44,0.362,0.0,0,0.362,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq45,0.306,0.0,0,0.306,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq46,0.315,0.0,0,0.315,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq47,0.334,0.0,0,0.334,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq48,0.312,0.0,0,0.312,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq49,0.316,0.0,0,0.316,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq51,0.309,0.0,0,0.309,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq53,0.316,0.0,0,0.316,Allergen
antigen49|Q2G1F5|CP000253.1|mhci|seq54,0.313,0.0,0,0.313,Allergen
