accession,label,feature,subfeature,value
B4RL47,random,signalp,prob_signalp,0.040818
B4RL47,random,signalp,prob_other,0.959182
P58152,random,signalp,prob_signalp,0.000617
P58152,random,signalp,prob_other,0.999383
Q06581,random,signalp,prob_signalp,0.000648
Q06581,random,signalp,prob_other,0.999352
B4RK79,random,signalp,prob_signalp,0.00072
B4RK79,random,signalp,prob_other,0.99928
Q5F9D8,random,signalp,prob_signalp,0.001211
Q5F9D8,random,signalp,prob_other,0.998789
P04174,random,signalp,prob_signalp,0.164916
P04174,random,signalp,prob_other,0.835084
Q50962,random,signalp,prob_signalp,0.00482
Q50962,random,signalp,prob_other,0.99518
B4RR10,random,signalp,prob_signalp,0.002612
B4RR10,random,signalp,prob_other,0.997388
P52325,random,signalp,prob_signalp,0.000642
P52325,random,signalp,prob_other,0.999358
B4RLE8,random,signalp,prob_signalp,0.000707
B4RLE8,random,signalp,prob_other,0.999293
B4RK78,random,signalp,prob_signalp,0.000612
B4RK78,random,signalp,prob_other,0.999388
B4RK82,random,signalp,prob_signalp,0.000594
B4RK82,random,signalp,prob_other,0.999406
B4RM87,random,signalp,prob_signalp,0.001766
B4RM87,random,signalp,prob_other,0.998234
P39897,random,signalp,prob_signalp,0.003014
P39897,random,signalp,prob_other,0.996986
B4RQC7,random,signalp,prob_signalp,0.005656
B4RQC7,random,signalp,prob_other,0.994344
B4RR25,random,signalp,prob_signalp,0.001418
B4RR25,random,signalp,prob_other,0.998582
Q5F5T1,random,signalp,prob_signalp,0.00084
Q5F5T1,random,signalp,prob_other,0.99916
Q5F9K6,random,signalp,prob_signalp,0.000644
Q5F9K6,random,signalp,prob_other,0.999356
Q5F6L9,random,signalp,prob_signalp,0.008663
Q5F6L9,random,signalp,prob_other,0.991337
B4RLE6,random,signalp,prob_signalp,0.00051
B4RLE6,random,signalp,prob_other,0.99949
B4RJG2,random,signalp,prob_signalp,0.012843
B4RJG2,random,signalp,prob_other,0.987157
B4RQ36,random,signalp,prob_signalp,0.000887
B4RQ36,random,signalp,prob_other,0.999113
Q5F629,random,signalp,prob_signalp,0.829749
Q5F629,random,signalp,prob_other,0.170251
Q5F4W9,random,signalp,prob_signalp,0.004106
Q5F4W9,random,signalp,prob_other,0.995894
Q5F8T6,random,signalp,prob_signalp,0.001442
Q5F8T6,random,signalp,prob_other,0.998558
B4RNX2,random,signalp,prob_signalp,0.001953
B4RNX2,random,signalp,prob_other,0.998047
Q5F5C4,random,signalp,prob_signalp,0.009095
Q5F5C4,random,signalp,prob_other,0.990905
P35819,random,signalp,prob_signalp,0.941098
P35819,random,signalp,prob_other,0.058902
Q5F7G0,random,signalp,prob_signalp,0.000681
Q5F7G0,random,signalp,prob_other,0.999319
P43505,random,signalp,prob_signalp,0.652376
P43505,random,signalp,prob_other,0.347624
Q5F783,random,signalp,prob_signalp,0.000497
Q5F783,random,signalp,prob_other,0.999503
B4RJI8,random,signalp,prob_signalp,0.001501
B4RJI8,random,signalp,prob_other,0.998499
B4RKC9,random,signalp,prob_signalp,0.001225
B4RKC9,random,signalp,prob_other,0.998775
Q5F8I2,random,signalp,prob_signalp,0.00181
Q5F8I2,random,signalp,prob_other,0.99819
B4RK98,random,signalp,prob_signalp,0.001508
B4RK98,random,signalp,prob_other,0.998492
Q5F7H5,random,signalp,prob_signalp,0.00079
Q5F7H5,random,signalp,prob_other,0.99921
Q51003,random,signalp,prob_signalp,0.005606
Q51003,random,signalp,prob_other,0.994394
B4RQN5,random,signalp,prob_signalp,0.000851
B4RQN5,random,signalp,prob_other,0.999149
P37762,random,signalp,prob_signalp,0.006417
P37762,random,signalp,prob_other,0.993583
B4RQ33,random,signalp,prob_signalp,0.004812
B4RQ33,random,signalp,prob_other,0.995188
Q5F774,random,signalp,prob_signalp,0.002265
Q5F774,random,signalp,prob_other,0.997735
B4RPI1,random,signalp,prob_signalp,0.000332
B4RPI1,random,signalp,prob_other,0.999668
P09888,random,signalp,prob_signalp,0.998572
P09888,random,signalp,prob_other,0.001428
B4RL58,random,signalp,prob_signalp,0.002824
B4RL58,random,signalp,prob_other,0.997176
O07813,random,signalp,prob_signalp,0.001532
O07813,random,signalp,prob_other,0.998468
B4RM65,random,signalp,prob_signalp,0.000884
B4RM65,random,signalp,prob_other,0.999116
Q5F9J9,random,signalp,prob_signalp,0.001095
Q5F9J9,random,signalp,prob_other,0.998905
Q5F4X8,random,signalp,prob_signalp,0.008945
Q5F4X8,random,signalp,prob_other,0.991055
B4RQY6,random,signalp,prob_signalp,0.000513
B4RQY6,random,signalp,prob_other,0.999487
B4RQ67,random,signalp,prob_signalp,0.000679
B4RQ67,random,signalp,prob_other,0.999321
B4RIW5,random,signalp,prob_signalp,0.001182
B4RIW5,random,signalp,prob_other,0.998818
B4RN40,random,signalp,prob_signalp,0.000783
B4RN40,random,signalp,prob_other,0.999217
B4RKY2,random,signalp,prob_signalp,0.000766
B4RKY2,random,signalp,prob_other,0.999234
Q5F7D6,random,signalp,prob_signalp,0.000952
Q5F7D6,random,signalp,prob_other,0.999048
Q5F9U0,random,signalp,prob_signalp,0.001748
Q5F9U0,random,signalp,prob_other,0.998252
B4RLV5,random,signalp,prob_signalp,0.002721
B4RLV5,random,signalp,prob_other,0.997279
B4RJN3,random,signalp,prob_signalp,0.000467
B4RJN3,random,signalp,prob_other,0.999533
Q5F746,random,signalp,prob_signalp,0.001907
Q5F746,random,signalp,prob_other,0.998093
Q5F542,random,signalp,prob_signalp,0.001034
Q5F542,random,signalp,prob_other,0.998966
