# TargetP-2.0	Organism: Non-Plant	Timestamp: 20250612135940
# ID	Prediction	noTP	SP	mTP	CS Position
antigen_77|Q5HDD7|Immunoglobulin-binding|HE681097.1|tpos:773380-773815	SP	0.111633	0.882342	0.006025	CS pos: 27-28. GEA-KA. Pr: 0.4974
antigen_42|Q2G0B3|ABC|HE681097.1|tpos:100925-101140	noTP	0.999936	0.000017	0.000046	
antigen_61|Q2G2G6|DUF4064|HE681097.1|tpos:324269-324607	noTP	0.999968	0.000003	0.000029	
antigen_64|Q2G2W1|Quinolone|HE681097.1|tpos:27706-28109	noTP	0.996006	0.003843	0.000150	
antigen_86|A0A2S1FUJ1|Superantigen-like|HE681097.1|tpos:128542-128766	SP	0.052259	0.831351	0.116391	CS pos: 22-23. VIT-SN. Pr: 0.3417
antigen_87|A0A0H3K7M3|Superantigen-like|HE681097.1|tpos:130586-130788	noTP	0.999845	0.000008	0.000147	
antigen_47|Q2G168|Putative|HE681097.1|tpos:100572-100920	noTP	0.702059	0.293700	0.004241	
antigen_40|Q2G091|ABC|HE681097.1|tpos:228971-229597	noTP	0.999970	0.000011	0.000019	
antigen_10|Q2FVV4|CPBP|HE681097.1|tpos:789458-789553	noTP	0.994927	0.002119	0.002954	
antigen_30|Q2FYV4|Homoserine|HE681097.1|tpos:401888-402313	SP	0.432743	0.562586	0.004671	CS pos: 16-17. VGS-GV. Pr: 0.4815
antigen_92|O54462|Superantigen-like|HE681097.1|tpos:130593-130788	noTP	0.996587	0.000004	0.003408	
antigen_41|Q2G0A2|Quinolone|HE681097.1|tpos:215427-215812	noTP	0.997791	0.001787	0.000422	
antigen_66|A0A1S6DAJ0|5'-nucleotidase|HE681097.1|tpos:9727-10498	SP	0.011943	0.987864	0.000193	CS pos: 27-28. SSA-AE. Pr: 0.5773
antigen_65|Q2G2Y0|Staphylococcal|HE681097.1|tpos:130218-130448	SP	0.033629	0.937335	0.029037	CS pos: 22-23. VFT-AE. Pr: 0.4336
antigen_33|Q2FZB1|Staphylococcal/Streptococcal|HE681097.1|tpos:128618-128746	noTP	0.999416	0.000163	0.000422	
antigen_26|Q2FXN2|Amino|HE681097.1|tpos:545472-545923	noTP	0.999963	0.000003	0.000034	
antigen_73|G0Z025|Enterotoxin-like|HE681097.1|tpos:130363-130452	noTP	0.998879	0.000332	0.000789	
antigen_74|A0A0H2XIH9|Fibrinogen-binding|HE681097.1|tpos:341073-341106	SP	0.000048	0.988278	0.011674	CS pos: 24-25. TIA-ST. Pr: 0.6276
antigen_83|Q2G1S6|Staphylococcal|HE681097.1|tpos:128542-128762	SP	0.052259	0.831351	0.116391	CS pos: 22-23. VIT-SN. Pr: 0.3417
antigen_84|A0A0H3KAV8|Staphylococcal|HE681097.1|tpos:128542-128768	SP	0.052259	0.831351	0.116391	CS pos: 22-23. VIT-SN. Pr: 0.3417
antigen_85|A0A2S1FUJ3|Superantigen-like|HE681097.1|tpos:130218-130449	SP	0.033629	0.937335	0.029037	CS pos: 22-23. VFT-AE. Pr: 0.4336
antigen_6|Q2FVI5|Bcr/CflA|HE681097.1|tpos:27713-27874	noTP	0.963786	0.030895	0.005319	
antigen_21|Q2FX09|Response|HE681097.1|tpos:7831-8040	noTP	0.999994	0.000005	0.000001	
antigen_19|Q2FWW3|Aminotransferase|HE681097.1|tpos:231053-231292	noTP	0.997808	0.001085	0.001107	
antigen_29|Q2FYP2|ABC|HE681097.1|tpos:228977-229476	noTP	0.999944	0.000025	0.000031	
antigen_25|Q2FXJ6|Serine|HE681097.1|tpos:298267-298626	SP	0.194487	0.805235	0.000278	CS pos: 16-17. LNA-IF. Pr: 0.3503
antigen_81|A0A0H3KAV3|Staphylococcal|HE681097.1|tpos:128542-128767	SP	0.052259	0.831351	0.116391	CS pos: 22-23. VIT-SN. Pr: 0.3417
antigen_82|A0A0H3KEE1|Staphylococcal|HE681097.1|tpos:128582-128759	noTP	0.992439	0.000024	0.007538	
antigen_9|Q2FVL8|Assimilatory|HE681097.1|tpos:143397-143728	noTP	0.996968	0.002922	0.000110	
antigen_36|Q2G010|Thermonuclease|HE681097.1|tpos:256339-256566	noTP	0.889285	0.101993	0.008722	
antigen_5|Q2FVH8|Membrane|HE681097.1|tpos:187747-188037	noTP	0.998505	0.001465	0.000029	
antigen_20|Q2FWW7|ABC|HE681097.1|tpos:114153-114385	noTP	0.999973	0.000014	0.000013	
antigen_32|Q2FZ93|Phospho-N-acetylmuramoyl-pentapeptide-transferase|HE681097.1|tpos:348697-349017	noTP	0.998181	0.000723	0.001096	
antigen_72|A0AAX2YX78|Extracellular|HE681097.1|tpos:283967-284110	SP	0.000945	0.997903	0.001152	CS pos: 21-22. TGA-TV. Pr: 0.5854
antigen_52|Q2G1N0|Staphyloferrin|HE681097.1|tpos:215427-215784	noTP	0.997791	0.001787	0.000422	
