,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
0,antigen_133|C1CG97|Putative|WP_000821636.1|tpos:1-80,Cytoplasmic,0.0003,0.0508,0.4985,0.4504,0.0000,0.0000
1,antigen_134|C1CBC0|UPF0371|WP_050204537.1|tpos:1-494,Cytoplasmic,0.0026,0.1569,0.7970,0.0435,0.0000,0.0000
2,antigen_159|C1CN42|N-acetyldiaminopimelate|WP_000885107.1|tpos:1-376,Cytoplasmic,0.0000,0.0030,0.9967,0.0002,0.0000,0.0000
3,antigen_163|C1CT54|Anthranilate|WP_000658684.1|tpos:1-334,Cytoplasmic,0.0001,0.0004,0.9994,0.0001,0.0000,0.0000
4,antigen_184|B5E6G7|Large|WP_000013542.1|tpos:1-180,Extracellular,0.0001,0.8458,0.1534,0.0007,0.0000,0.0000
5,antigen_186|Q8DQZ7|DNA|WP_050244751.1|tpos:1-353,Cytoplasmic,0.0003,0.0019,0.9960,0.0019,0.0000,0.0000
6,antigen_191|C1C9E8|UPF0154|WP_000364990.1|tpos:1-82,Cytoplasmic Membrane,0.0001,0.0171,0.0008,0.9820,0.0000,0.0000
7,antigen_192|C1CTP8|Large|WP_000831905.1|tpos:1-44,Extracellular,0.0000,0.6093,0.3907,0.0000,0.0000,0.0000
8,antigen_193|Q97Q19|Phosphatidylglycerol--prolipoprotein|WP_050244703.1|tpos:1-262,Cytoplasmic Membrane,0.0000,0.0001,0.0000,0.9999,0.0000,0.0000
9,antigen_76|C1CLY4|D-aminoacyl-tRNA|WP_000691400.1|tpos:1-147,Cytoplasmic,0.0015,0.1264,0.5405,0.3316,0.0000,0.0000
10,antigen_1|C1CI34|DNA-directed|WP_000639577.1|tpos:1-77,Cytoplasmic,0.0016,0.0435,0.9359,0.0190,0.0000,0.0000
11,antigen_3|B5E515|Bifunctional|WP_000850024.1|tpos:1-173,Cytoplasmic,0.0002,0.0636,0.9347,0.0015,0.0000,0.0000
12,antigen_4|C1CUF5|Ribosomal|WP_000695929.1|tpos:1-159,Cytoplasmic,0.0001,0.0193,0.9800,0.0006,0.0000,0.0000
13,antigen_6|C1CQV3|UPF0223|WP_001041971.1|tpos:1-92,Cytoplasmic,0.0011,0.0745,0.8227,0.1017,0.0000,0.0000
14,antigen_7|B5E216|Regulatory|WP_000705097.1|tpos:1-258,Cytoplasmic,0.0003,0.0313,0.9660,0.0024,0.0000,0.0000
