accession,label,feature,subfeature,value
P44994,random,ellipro,mean_linear_score,0.7325
P44994,random,ellipro,mean_discontinuous_score,0.7325
P44994,random,ellipro,med_linear_score,0.73
P44994,random,ellipro,med_discontinuous_score,0.73
P44994,random,ellipro,num_linear_epitopes,8
P44994,random,ellipro,num_discontinuous_epitopes,8
O86228,random,ellipro,mean_linear_score,0.6615
O86228,random,ellipro,mean_discontinuous_score,0.6615
O86228,random,ellipro,med_linear_score,0.652
O86228,random,ellipro,med_discontinuous_score,0.652
O86228,random,ellipro,num_linear_epitopes,6
O86228,random,ellipro,num_discontinuous_epitopes,6
P45114,random,ellipro,mean_linear_score,0.6777
P45114,random,ellipro,mean_discontinuous_score,0.6777
P45114,random,ellipro,med_linear_score,0.6705000000000001
P45114,random,ellipro,med_discontinuous_score,0.6705000000000001
P45114,random,ellipro,num_linear_epitopes,30
P45114,random,ellipro,num_discontinuous_epitopes,30
P44659,random,ellipro,mean_linear_score,0.708076923076923
P44659,random,ellipro,mean_discontinuous_score,0.708076923076923
P44659,random,ellipro,med_linear_score,0.723
P44659,random,ellipro,med_discontinuous_score,0.723
P44659,random,ellipro,num_linear_epitopes,13
P44659,random,ellipro,num_discontinuous_epitopes,13
A5UGE3,random,ellipro,mean_linear_score,0.6743125
A5UGE3,random,ellipro,mean_discontinuous_score,0.6743125
A5UGE3,random,ellipro,med_linear_score,0.6839999999999999
A5UGE3,random,ellipro,med_discontinuous_score,0.6839999999999999
A5UGE3,random,ellipro,num_linear_epitopes,16
A5UGE3,random,ellipro,num_discontinuous_epitopes,16
P45289,random,ellipro,mean_linear_score,0.7137272727272727
P45289,random,ellipro,mean_discontinuous_score,0.7137272727272727
P45289,random,ellipro,med_linear_score,0.71
P45289,random,ellipro,med_discontinuous_score,0.71
P45289,random,ellipro,num_linear_epitopes,11
P45289,random,ellipro,num_discontinuous_epitopes,11
A5UFV3,random,ellipro,mean_linear_score,0.705
A5UFV3,random,ellipro,mean_discontinuous_score,0.705
A5UFV3,random,ellipro,med_linear_score,0.6984999999999999
A5UFV3,random,ellipro,med_discontinuous_score,0.6984999999999999
A5UFV3,random,ellipro,num_linear_epitopes,14
A5UFV3,random,ellipro,num_discontinuous_epitopes,14
P45052,random,ellipro,mean_linear_score,0.6986666666666667
P45052,random,ellipro,mean_discontinuous_score,0.6986666666666667
P45052,random,ellipro,med_linear_score,0.692
P45052,random,ellipro,med_discontinuous_score,0.692
P45052,random,ellipro,num_linear_epitopes,15
P45052,random,ellipro,num_discontinuous_epitopes,15
P31810,random,ellipro,mean_linear_score,0.7045
P31810,random,ellipro,mean_discontinuous_score,0.7045
P31810,random,ellipro,med_linear_score,0.724
P31810,random,ellipro,med_discontinuous_score,0.724
P31810,random,ellipro,num_linear_epitopes,6
P31810,random,ellipro,num_discontinuous_epitopes,6
P40134,random,ellipro,mean_linear_score,0.694939393939394
