accession,deeplocpro_prob_cell_wall_surface,deeplocpro_prob_extracellular,deeplocpro_prob_cytoplasmic,deeplocpro_prob_cytoplasmic_membrane,deeplocpro_prob_outer_membrane,deeplocpro_prob_periplasmic,signalp_prob_signalp,signalp_prob_tat,signalp_prob_lipo,signalp_prob_other,targetp_prob_noTP,targetp_prob_SP,targetp_prob_mTP
WP_000002056.1,0.001,0.0162,0.9782,0.0047,0.0,0.0,0.004549,0.000388,0.000378,0.994684,0.999789,0.000162,4.9e-05
WP_000002678.1,0.0,0.0022,0.997,0.0008,0.0,0.0,0.003237,0.00022,0.000418,0.996124,0.999817,0.000112,7.1e-05
WP_000002683.1,0.0,0.0006,0.0,0.9994,0.0,0.0,0.00169,0.000218,0.018319,0.979773,0.999822,0.000162,1.7e-05
WP_000002969.1,0.0,0.0067,0.9533,0.04,0.0,0.0,0.006482,0.000189,0.000713,0.992616,0.99973,6.6e-05,0.000204
WP_000003566.1,0.0,0.0023,0.9977,0.0,0.0,0.0,0.00375,0.003865,0.000435,0.99195,0.999971,7e-06,2.2e-05
WP_000003759.1,0.0003,0.0155,0.982,0.0022,0.0,0.0,0.003189,0.000432,0.000309,0.99607,0.999977,9e-06,1.4e-05
WP_000003870.1,0.0002,0.0554,0.9132,0.0312,0.0,0.0,0.002036,0.000168,0.000277,0.997519,0.99989,5.6e-05,5.3e-05
WP_000004086.1,0.0,0.5134,0.4865,0.0,0.0,0.0,0.007954,0.000534,0.001166,0.990346,0.99996,5e-06,3.4e-05
WP_000004339.1,0.0,0.0,0.0,0.9999,0.0,0.0,0.043737,0.000861,0.002372,0.95303,0.999333,0.000558,0.000108
WP_000004981.1,0.0001,0.0043,0.9946,0.001,0.0,0.0,0.002902,0.000496,0.000222,0.99638,0.999839,0.000104,5.8e-05
WP_000005212.1,0.0023,0.014,0.6803,0.3034,0.0,0.0,0.002207,0.000194,0.000269,0.99733,0.9999,4.5e-05,5.6e-05
WP_000005886.1,0.0004,0.0988,0.6701,0.2306,0.0,0.0,0.00264,0.000126,0.000263,0.99697,0.990803,0.001349,0.007849
WP_000006551.1,0.0005,0.0082,0.9682,0.0231,0.0,0.0,0.003018,0.000921,0.000446,0.995615,0.999964,1.4e-05,2.3e-05
WP_000007693.1,0.0006,0.0376,0.7003,0.2615,0.0,0.0,0.007449,0.00179,0.002406,0.988356,0.999812,2e-06,0.000186
WP_000007967.1,0.0,0.0001,0.0003,0.9996,0.0,0.0,0.000821,0.000108,0.004293,0.994777,0.999926,1.3e-05,6.1e-05
WP_000008673.1,0.0087,0.1457,0.829,0.0167,0.0,0.0,0.011924,0.00069,0.002167,0.985219,0.99881,0.000157,0.001034
WP_000009069.1,0.0,0.0015,0.0001,0.9983,0.0,0.0,0.017029,0.00038,0.006208,0.976383,0.99989,1.6e-05,9.5e-05
WP_000009238.1,0.0052,0.1015,0.8931,0.0002,0.0,0.0,0.104333,0.008115,0.018002,0.869551,0.972786,0.023153,0.004061
WP_000009495.1,0.0017,0.0106,0.9707,0.0171,0.0,0.0,0.216196,0.034679,0.015127,0.733998,0.947916,0.017325,0.034759
WP_000011542.1,0.0,0.0026,0.0002,0.9971,0.0,0.0,0.002146,9.7e-05,0.00602,0.991737,0.959784,0.004178,0.036038
WP_000011687.1,0.0001,0.1321,0.4554,0.4125,0.0,0.0,0.005104,0.000649,0.000932,0.993315,0.955522,0.031416,0.013062
