# SignalP-5.0	Organism: euk	Timestamp: 20250811155219
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
antigen_159|C1CN42|N-acetyldiaminopimelate|CP145437.1|tpos:486000-486375	OTHER	0.000799	0.999201	
antigen_111|B5E677|ATP|CP145437.1|tpos:337-402	OTHER	0.438157	0.561843	
antigen_120|C1CSV9|Alanine|CP145437.1|tpos:602226-602592	OTHER	0.001914	0.998086	
antigen_30|C1CLL2|ATP|CP145437.1|tpos:337-402	OTHER	0.438157	0.561843	
antigen_31|C1CA16|Aspartate--ammonia|CP145437.1|tpos:525627-525956	OTHER	0.000794	0.999206	
antigen_39|C1CL83|Chorismate|CP145437.1|tpos:37060-37447	OTHER	0.005138	0.994862	
antigen_119|B8ZN60|N-(5'-phosphoribosyl)anthranilate|CP145437.1|tpos:571822-572020	OTHER	0.000883	0.999117	
antigen_129|Q04MI9|Holliday|CP145437.1|tpos:636482-636633	OTHER	0.001085	0.998915	
antigen_134|C1CBC0|UPF0371|CP145437.1|tpos:335580-336073	OTHER	0.000653	0.999347	
antigen_150|C1CLK6|ATP|CP145437.1|tpos:1029-1414	OTHER	0.000829	0.999171	
antigen_24|B8ZLB0|ATP|CP145437.1|tpos:1469-1760	OTHER	0.000326	0.999674	
antigen_163|C1CT54|Anthranilate|CP145437.1|tpos:571256-571589	OTHER	0.000583	0.999417	
antigen_185|P64063|GTPase|CP145437.1|tpos:139800-139951	OTHER	0.000608	0.999392	
antigen_172|B5E6L9|Homoserine|CP145437.1|tpos:634562-634875	OTHER	0.000381	0.999619	
antigen_106|B8ZMG1|Alanine|CP145437.1|tpos:602226-602592	OTHER	0.001914	0.998086	
antigen_142|C1CKT9|Galactose-6-phosphate|CP145437.1|tpos:79197-79336	OTHER	0.001362	0.998638	
antigen_75|P22976|Probable|CP145437.1|tpos:506837-507494	OTHER	0.002309	0.997691	
antigen_113|Q04IY8|N-(5'-phosphoribosyl)anthranilate|CP145437.1|tpos:571822-572020	OTHER	0.000883	0.999117	
antigen_188|Q97R94|Gamma-glutamyl|CP145437.1|tpos:508098-508289	OTHER	0.003228	0.996772	
antigen_192|C1CTP8|Large|CP145437.1|tpos:519484-519527	OTHER	0.011053	0.988947	
antigen_99|B8ZPW3|Glucose-1-phosphate|CP145437.1|tpos:626977-627174	OTHER	0.013725	0.986275	
antigen_167|Q03727|Transport/processing|CP145437.1|tpos:277469-277623	OTHER	0.001713	0.998287	
antigen_27|Q04J70|Protein|CP145437.1|tpos:600571-601407	OTHER	0.000306	0.999694	
antigen_112|C1CEF3|Galactose-6-phosphate|CP145437.1|tpos:79348-79518	OTHER	0.004595	0.995405	
antigen_82|A0A0H2ZQB9|Ergothioneine|CP145437.1|tpos:449714-449861	OTHER	0.037285	0.962715	
antigen_86|Q04IA3|Glutamate--tRNA|CP145437.1|tpos:493933-494418	OTHER	0.000399	0.999601	
antigen_9|Q04IK6|DNA-directed|CP145437.1|tpos:528169-529371	OTHER	0.000500	0.999500	
antigen_124|Q97PL0|tRNA|CP145437.1|tpos:629411-629659	OTHER	0.001908	0.998092	
antigen_69|C1CEN2|Bifunctional|CP145437.1|tpos:54232-54404	OTHER	0.000390	0.999610	
antigen_89|B2IPT6|Galactose-6-phosphate|CP145437.1|tpos:79348-79518	OTHER	0.004595	0.995405	
antigen_96|Q8DMY0|Energy-coupling|CP145437.1|tpos:443493-443759	OTHER	0.000211	0.999789	
antigen_35|P59206|Putative|CP145437.1|tpos:24702-24770	OTHER	0.017090	0.982910	
antigen_166|C1C8F7|Nucleotide-binding|CP145437.1|tpos:637151-637446	OTHER	0.069163	0.930837	
antigen_186|Q8DQZ7|DNA|CP145437.1|tpos:302870-302977	OTHER	0.002723	0.997277	
antigen_176|C1C7X6|3-dehydroquinate|CP145437.1|tpos:36702-37056	OTHER	0.000561	0.999439	
antigen_148|C1CB34|Holliday|CP145437.1|tpos:636482-636633	OTHER	0.001085	0.998915	
antigen_162|C1CQY0|3-dehydroquinate|CP145437.1|tpos:36702-37056	OTHER	0.000561	0.999439	
antigen_46|Q04JN6|Pyridoxal|CP145437.1|tpos:12399-12591	OTHER	0.219208	0.780792	
antigen_57|Q04KB1|Exodeoxyribonuclease|CP145437.1|tpos:76238-76307	OTHER	0.000178	0.999822	
antigen_59|P0A4N1|Maltodextrin|CP145437.1|tpos:608847-609126	OTHER	0.083186	0.916814	
