Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq1,0.324,0,0,0.324,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq4,0.339,0,0,0.339,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq5,0.314,0,0,0.314,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq6,0.344,0,0,0.344,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq7,0.388,0,0,0.388,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq8,0.393,0,0,0.393,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq13,0.302,0,0,0.302,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq17,0.363,0,0,0.363,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq18,0.36,0,0,0.36,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq19,0.433,0,0,0.433,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq20,0.348,0,0,0.348,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq21,0.323,0,0,0.323,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq25,0.461,0,0,0.461,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq26,0.566,0,0,0.566,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq27,0.452,0,0,0.452,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq28,0.501,0,0,0.501,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq29,0.365,0,0,0.365,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq30,0.322,0,0,0.322,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq31,0.331,0,0,0.331,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq32,0.332,0,0,0.332,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq33,0.359,0,0,0.359,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq35,0.304,0,0,0.304,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq36,0.352,0,0,0.352,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq39,0.35,0,0,0.35,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq40,0.309,0,0,0.309,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq41,0.303,0,0,0.303,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq42,0.344,0,0,0.344,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq43,0.386,0,0,0.386,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq44,0.407,0,0,0.407,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq45,0.318,0,0,0.318,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq46,0.324,0,0,0.324,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq47,0.334,0,0,0.334,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq48,0.321,0,0,0.321,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq49,0.324,0,0,0.324,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq50,0.345,0,0,0.345,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq51,0.337,0,0,0.337,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq61,0.346,0,0,0.346,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq62,0.345,0,0,0.345,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq63,0.334,0,0,0.334,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq64,0.362,0,0,0.362,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq73,0.393,0,0,0.393,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq74,0.402,0,0,0.402,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq75,0.38,0,0,0.38,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq76,0.394,0,0,0.394,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq77,0.41,0,0,0.41,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq78,0.349,0,0,0.349,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq79,0.332,0,0,0.332,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq80,0.363,0,0,0.363,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq81,0.311,0,0,0.311,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq82,0.307,0,0,0.307,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq91,0.305,0,0,0.305,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq92,0.343,0,0,0.343,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq93,0.412,0,0,0.412,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq94,0.368,0,0,0.368,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq95,0.392,0,0,0.392,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq96,0.448,0,0,0.448,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq97,0.373,0,0,0.373,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq98,0.357,0,0,0.357,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq99,0.366,0,0,0.366,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq100,0.384,0,0,0.384,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq107,0.305,0,0,0.305,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq108,0.304,0,0,0.304,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq112,0.337,0,0,0.337,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq113,0.486,0,0,0.486,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq114,0.507,0,0,0.507,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq115,0.525,0,0,0.525,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq116,0.427,0,0,0.427,Allergen
antigen106|A0A0H3K9F2|CP002114.3|mhci|seq117,0.451,0,0,0.451,Allergen
