Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen65|Q2G2Y0|BX571856.1|mhci|seq1,0.337,0,0,0.337,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq2,0.378,0,0,0.378,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq3,0.381,0,0,0.381,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq4,0.393,0,0,0.393,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq5,0.369,0,0,0.369,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq6,0.367,0,0,0.367,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq7,0.352,0,0,0.352,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq8,0.331,0,0,0.331,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq9,0.402,0,0,0.402,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq10,0.357,0,0,0.357,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq11,0.353,0,0,0.353,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq12,0.35,0,0,0.35,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq13,0.467,0,0,0.467,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq14,0.43,0,0,0.43,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq15,0.439,0,0,0.439,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq16,0.43,0,0,0.43,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq17,0.337,0,0,0.337,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq18,0.309,0,0,0.309,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq21,0.316,0,0,0.316,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq23,0.315,0,0,0.315,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq25,0.336,0,0,0.336,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq26,0.336,0,0,0.336,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq27,0.332,0,0,0.332,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq28,0.349,0,0,0.349,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq29,0.398,0,0,0.398,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq30,0.459,0,0,0.459,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq31,0.547,0,0,0.547,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq32,0.56,0,0,0.56,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq35,0.304,0,0,0.304,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq36,0.302,0,0,0.302,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq37,0.34,0,0,0.34,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq38,0.32,0,0,0.32,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq39,0.346,0,0,0.346,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq40,0.384,0,0,0.384,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq41,0.322,0,0,0.322,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq49,0.369,0,0,0.369,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq50,0.415,0,0,0.415,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq51,0.443,0,0,0.443,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq52,0.419,0,0,0.419,Allergen
antigen65|Q2G2Y0|BX571856.1|mhci|seq57,0.348,0,0,0.348,Allergen
