accession,label,feature,subfeature,value
Q9ZK20,random,deeptmhmm,proportion_outside,0.0
B2USG1,random,deeptmhmm,proportion_outside,0.0
B9XXL6,random,deeptmhmm,proportion_outside,0.0
B2UTQ6,random,deeptmhmm,proportion_outside,0.0
B5Z9Q3,random,deeptmhmm,proportion_outside,0.0
O25608,random,deeptmhmm,proportion_outside,0.0
B6JPI5,random,deeptmhmm,proportion_outside,0.0
P56046,random,deeptmhmm,proportion_outside,0.0
B5Z6E8,random,deeptmhmm,proportion_outside,0.0
O25688,random,deeptmhmm,proportion_outside,0.0
O26043,random,deeptmhmm,proportion_outside,0.0
B2UUR0,random,deeptmhmm,proportion_outside,0.0
Q9ZKQ7,random,deeptmhmm,proportion_outside,0.0
O25679,random,deeptmhmm,proportion_outside,0.0
P64382,random,deeptmhmm,proportion_outside,0.0
Q1CTD7,random,deeptmhmm,proportion_outside,0.0
B5Z9V7,random,deeptmhmm,proportion_outside,0.0
Q48252,random,deeptmhmm,proportion_outside,0.0
Q48255,random,deeptmhmm,proportion_outside,0.0
B6JNE5,random,deeptmhmm,proportion_outside,0.0
B6JM61,random,deeptmhmm,proportion_outside,0.0
P56191,random,deeptmhmm,proportion_outside,0.0
P55977,random,deeptmhmm,proportion_outside,0.0
O25291,random,deeptmhmm,proportion_outside,0.25862068965517243
B5Z8P5,random,deeptmhmm,proportion_outside,0.0
Q9ZKY2,random,deeptmhmm,proportion_outside,0.0
O25474,random,deeptmhmm,proportion_outside,0.8967391304347826
B5Z9W8,random,deeptmhmm,proportion_outside,0.0
Q9ZM74,random,deeptmhmm,proportion_outside,0.1606060606060606
B2UU37,random,deeptmhmm,proportion_outside,0.0
B5Z8J7,random,deeptmhmm,proportion_outside,0.0
Q9ZMF0,random,deeptmhmm,proportion_outside,0.0
B6JM54,random,deeptmhmm,proportion_outside,0.0
B6JLG3,random,deeptmhmm,proportion_outside,0.0
B6JLE8,random,deeptmhmm,proportion_outside,0.0
B6JNF0,random,deeptmhmm,proportion_outside,0.0
P56120,random,deeptmhmm,proportion_outside,0.0
Q1CV04,random,deeptmhmm,proportion_outside,0.0
O25157,random,deeptmhmm,proportion_outside,0.0
B2UTK9,random,deeptmhmm,proportion_outside,0.0
B2UV81,random,deeptmhmm,proportion_outside,0.0
Q9ZMG1,random,deeptmhmm,proportion_outside,0.0
Q9ZMK8,random,deeptmhmm,proportion_outside,0.04178272980501393
Q1CS66,random,deeptmhmm,proportion_outside,0.0
Q1CRI6,random,deeptmhmm,proportion_outside,0.0
Q1CUV9,random,deeptmhmm,proportion_outside,0.0
O25028,random,deeptmhmm,proportion_outside,0.9444444444444444
Q9ZMF2,random,deeptmhmm,proportion_outside,0.0
B2UU74,random,deeptmhmm,proportion_outside,0.0
P66119,random,deeptmhmm,proportion_outside,0.0
Q9ZKY8,random,deeptmhmm,proportion_outside,0.0
Q9ZJR5,random,deeptmhmm,proportion_outside,0.0
P56144,random,deeptmhmm,proportion_outside,0.0
Q9ZLC8,random,deeptmhmm,proportion_outside,0.0
B2USN5,random,deeptmhmm,proportion_outside,0.0
P55994,random,deeptmhmm,proportion_outside,1.0
B6JN65,random,deeptmhmm,proportion_outside,0.2153846153846154
Q9ZM39,random,deeptmhmm,proportion_outside,0.0
Q9ZM94,random,deeptmhmm,proportion_outside,0.0
Q9ZM13,random,deeptmhmm,proportion_outside,0.0
Q09068,random,deeptmhmm,proportion_outside,0.29743589743589743
Q9ZMH1,random,deeptmhmm,proportion_outside,0.0
P56456,random,deeptmhmm,proportion_outside,0.0
O25610,random,deeptmhmm,proportion_outside,0.0
Q9ZK27,random,deeptmhmm,proportion_outside,0.0
B6JPT1,random,deeptmhmm,proportion_outside,0.0
B6JKX5,random,deeptmhmm,proportion_outside,0.0
O26009,random,deeptmhmm,proportion_outside,0.0
Q9ZJZ7,random,deeptmhmm,proportion_outside,0.0
Q1CS87,random,deeptmhmm,proportion_outside,0.0
