Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen147|A6QHI5|CP000253.1|mhci|seq1,0.331,0,0,0.331,Allergen
antigen147|A6QHI5|CP000253.1|mhci|seq2,0.331,0,0,0.331,Allergen
antigen147|A6QHI5|CP000253.1|mhci|seq3,0.331,0,0,0.331,Allergen
antigen147|A6QHI5|CP000253.1|mhci|seq4,0.335,0,0,0.335,Allergen
antigen147|A6QHI5|CP000253.1|mhci|seq5,0.383,0,0,0.383,Allergen
antigen147|A6QHI5|CP000253.1|mhci|seq6,0.38,0,0,0.38,Allergen
antigen147|A6QHI5|CP000253.1|mhci|seq7,0.378,0,0,0.378,Allergen
antigen147|A6QHI5|CP000253.1|mhci|seq8,0.383,0,0,0.383,Allergen
antigen147|A6QHI5|CP000253.1|mhci|seq13,0.358,0,0,0.358,Allergen
antigen147|A6QHI5|CP000253.1|mhci|seq14,0.327,0,0,0.327,Allergen
antigen147|A6QHI5|CP000253.1|mhci|seq15,0.318,0,0,0.318,Allergen
antigen147|A6QHI5|CP000253.1|mhci|seq16,0.313,0,0,0.313,Allergen
antigen147|A6QHI5|CP000253.1|mhci|seq17,0.354,0,0,0.354,Allergen
antigen147|A6QHI5|CP000253.1|mhci|seq18,0.326,0,0,0.326,Allergen
antigen147|A6QHI5|CP000253.1|mhci|seq20,0.365,0,0,0.365,Allergen
antigen147|A6QHI5|CP000253.1|mhci|seq21,0.362,0,0,0.362,Allergen
antigen147|A6QHI5|CP000253.1|mhci|seq22,0.354,0,0,0.354,Allergen
antigen147|A6QHI5|CP000253.1|mhci|seq23,0.363,0,0,0.363,Allergen
antigen147|A6QHI5|CP000253.1|mhci|seq24,0.302,0,0,0.302,Allergen
antigen147|A6QHI5|CP000253.1|mhci|seq27,0.315,0,0,0.315,Allergen
antigen147|A6QHI5|CP000253.1|mhci|seq44,0.328,0,0,0.328,Allergen
antigen147|A6QHI5|CP000253.1|mhci|seq45,0.331,0,0,0.331,Allergen
antigen147|A6QHI5|CP000253.1|mhci|seq46,0.323,0,0,0.323,Allergen
