Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen150|O50581|CP002114.3|mhcii|seq1,0.422,0,0.0,0.422,Allergen
antigen150|O50581|CP002114.3|mhcii|seq2,0.417,0,0.0,0.417,Allergen
antigen150|O50581|CP002114.3|mhcii|seq3,0.421,0,0.0,0.421,Allergen
antigen150|O50581|CP002114.3|mhcii|seq4,0.432,0,0.0,0.432,Allergen
antigen150|O50581|CP002114.3|mhcii|seq5,0.427,0,0.0,0.427,Allergen
antigen150|O50581|CP002114.3|mhcii|seq6,0.433,0,0.0,0.433,Allergen
antigen150|O50581|CP002114.3|mhcii|seq7,0.436,0,0.0,0.436,Allergen
antigen150|O50581|CP002114.3|mhcii|seq8,0.366,0,0.0,0.366,Allergen
antigen150|O50581|CP002114.3|mhcii|seq9,0.353,0,0.0,0.353,Allergen
antigen150|O50581|CP002114.3|mhcii|seq10,0.341,0,0.0,0.341,Allergen
antigen150|O50581|CP002114.3|mhcii|seq11,0.349,0,0.0,0.349,Allergen
antigen150|O50581|CP002114.3|mhcii|seq12,0.331,0,0.0,0.331,Allergen
antigen150|O50581|CP002114.3|mhcii|seq13,0.348,0,0.0,0.348,Allergen
antigen150|O50581|CP002114.3|mhcii|seq14,0.37,0,0.0,0.37,Allergen
antigen150|O50581|CP002114.3|mhcii|seq15,0.355,0,0.0,0.355,Allergen
antigen150|O50581|CP002114.3|mhcii|seq16,0.38,0,0.0,0.38,Allergen
antigen150|O50581|CP002114.3|mhcii|seq17,0.389,0,0.0,0.389,Allergen
antigen150|O50581|CP002114.3|mhcii|seq18,0.375,0,0.0,0.375,Allergen
antigen150|O50581|CP002114.3|mhcii|seq19,0.381,0,0.0,0.381,Allergen
antigen150|O50581|CP002114.3|mhcii|seq20,0.394,0,0.0,0.394,Allergen
antigen150|O50581|CP002114.3|mhcii|seq21,0.401,0,0.0,0.401,Allergen
antigen150|O50581|CP002114.3|mhcii|seq22,0.427,0,0.0,0.427,Allergen
antigen150|O50581|CP002114.3|mhcii|seq23,0.423,0,0.0,0.423,Allergen
antigen150|O50581|CP002114.3|mhcii|seq31,0.397,0,0.0,0.397,Allergen
antigen150|O50581|CP002114.3|mhcii|seq32,0.364,0,0.0,0.364,Allergen
antigen150|O50581|CP002114.3|mhcii|seq33,0.337,0,0.0,0.337,Allergen
antigen150|O50581|CP002114.3|mhcii|seq34,0.306,0,0.0,0.306,Allergen
antigen150|O50581|CP002114.3|mhcii|seq35,0.313,0,0.0,0.313,Allergen
antigen150|O50581|CP002114.3|mhcii|seq36,0.322,0,0.0,0.322,Allergen
antigen150|O50581|CP002114.3|mhcii|seq37,0.329,0,0.0,0.329,Allergen
antigen150|O50581|CP002114.3|mhcii|seq38,0.327,0,0.0,0.327,Allergen
antigen150|O50581|CP002114.3|mhcii|seq39,0.327,0,0.0,0.327,Allergen
