accession,label,feature,subfeature,value
O83830,positive,signalp,prob_signalp,0.77435
O83830,positive,signalp,prob_other,0.22565
O83731,positive,signalp,prob_signalp,0.952254
O83731,positive,signalp,prob_other,0.047746
O83487,positive,signalp,prob_signalp,0.000631
O83487,positive,signalp,prob_other,0.999369
O83249,positive,signalp,prob_signalp,0.013412
O83249,positive,signalp,prob_other,0.986588
O83448,positive,signalp,prob_signalp,0.232492
O83448,positive,signalp,prob_other,0.767508
O83666,positive,signalp,prob_signalp,0.001022
O83666,positive,signalp,prob_other,0.998978
O83347,positive,signalp,prob_signalp,0.993441
O83347,positive,signalp,prob_other,0.006559
O83732,positive,signalp,prob_signalp,0.300777
O83732,positive,signalp,prob_other,0.699223
O83481,positive,signalp,prob_signalp,0.001196
O83481,positive,signalp,prob_other,0.998804
O83834,positive,signalp,prob_signalp,0.486253
O83834,positive,signalp,prob_other,0.513747
P07643,positive,signalp,prob_signalp,0.657491
P07643,positive,signalp,prob_other,0.342509
O83768,positive,signalp,prob_signalp,0.856973
O83768,positive,signalp,prob_other,0.143027
O83086,positive,signalp,prob_signalp,0.001401
O83086,positive,signalp,prob_other,0.998599
O54312,positive,signalp,prob_signalp,0.00248
O54312,positive,signalp,prob_other,0.99752
F7IW56,positive,signalp,prob_signalp,0.941881
F7IW56,positive,signalp,prob_other,0.058119
O83384,positive,signalp,prob_signalp,0.946716
O83384,positive,signalp,prob_other,0.053284
F7IWA5,positive,signalp,prob_signalp,0.974883
F7IWA5,positive,signalp,prob_other,0.025117
P19649,positive,signalp,prob_signalp,0.943798
P19649,positive,signalp,prob_other,0.056202
O83520,positive,signalp,prob_signalp,0.000897
O83520,positive,signalp,prob_other,0.999103
O83769,positive,signalp,prob_signalp,0.003213
O83769,positive,signalp,prob_other,0.996787
O83475,positive,signalp,prob_signalp,0.968351
O83475,positive,signalp,prob_other,0.031649
O83613,positive,signalp,prob_signalp,0.000719
O83613,positive,signalp,prob_other,0.999281
O83251,positive,signalp,prob_signalp,0.710466
O83251,positive,signalp,prob_other,0.289534
O83080,positive,signalp,prob_signalp,0.001603
O83080,positive,signalp,prob_other,0.998397
O83932,positive,signalp,prob_signalp,0.856972
